spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms,artist,song,album_name,lang,genres,tags
6AGsZ1j1ysQBNX8GRT2zKL,39.0,2018,0.84,0.614,4.0,0.0,0.748,0.5106935690378464,197965,Charli XCX,Focus (Yaeji Remix),Focus (Yaeji Remix),en,"synthpop,electronic,pop,electroclash","synthpop,electronic,pop,female vocalists,electroclash"
0d28khcov6AiegSCpG5TuT,77.0,2005,0.818,0.705,6.0,1.0,0.772,0.5704293483406957,222640,Gorillaz,Feel Good Inc.,Demon Days,en,"electronic,rock","alternative,electronic,hip-hop,rock,gorillaz"
6AGsZ1j1ysQBNX8GRT2zKL,39.0,2018,0.84,0.614,4.0,0.0,0.748,0.5106935690378464,197965,Charli XCX,Focus - Yaeji Remix,Focus (Yaeji Remix),en,"synthpop,electronic,pop,electroclash","synthpop,electronic,pop,female vocalists,electroclash"
0d28khcov6AiegSCpG5TuT,77.0,2005,0.818,0.705,6.0,1.0,0.772,0.5704293483406957,222640,Gorillaz,Feel Good Inc,Demon Days,en,"electronic,rock,electronic","alternative,electronic,hip-hop,rock,gorillaz,alternative,electronic,hip-hop"
0d28khcov6AiegSCpG5TuT,77.0,2005,0.818,0.705,6.0,1.0,0.772,0.5704293483406957,222640,Gorillaz,Demon Days,Demon Days,en,electronic,"alternative,electronic,gorillaz,indie"
0iSBeKGfZPnbEacqYFmxw6,47.0,1970,0.653,0.54,7.0,1.0,0.607,0.39574233335940684,354467,Stephen Stills,Go Back Home,Stephen Stills,en,"classic rock,folk rock","classic rock,folk rock"
3DRK95roA4UH43eYpyjziA,20.0,1999,0.617,0.288,1.0,1.0,0.483,0.518511504592368,149840,Tori Amos,Josephine,To Venus And Back,en,singer-songwriter,"beautiful,piano,female vocalists,singer-songwriter,alternative"
6EOZBOQzTVZh9737ULhb0j,37.0,2017,0.291,0.05,8.0,0.0,0.193,0.3108648308172398,72168,Four Tet,Falls 2,New Energy,INTRUMENTAL,"electronic,ambient","electronic,ambient"
2eKwjJkBUaeaGq5GA1wTwc,44.0,1965,0.383,0.0248,11.0,0.0,0.237,0.3503579618201504,208933,Nina Simone,Strange Fruit,Pastel Blues,en,"jazz,blues","jazz,blues,female vocalists,nina simone"
43niiTshfUdTN32wHykv7h,40.0,1974,0.8290000000000001,0.551,1.0,1.0,0.716,0.42156334009872254,131827,J.J. Cale,Cajun Moon,Okie,en,"blues,singer-songwriter,blues,singer-songwriter","blues rock,blues,singer-songwriter,guitar,blues,blues rock,singer-songwriter"
0KsQfPkp1A5Ubtnp0TYH8v,25.0,1984,0.395,0.113,1.0,1.0,0.28,0.49969741007727364,412307,Black Flag,Scream,My War,en,"hardcore punk,punk,hardcore","hardcore punk,punk,hardcore,sludge"
6rnMwp1TDEw8wwbX7S9Ot9,42.0,2017,0.795,0.416,9.0,0.0,0.6409999999999999,0.5062185316772538,203038,TOPS,Cutlass Cruiser,Sugar at the Gate,en,"indie pop,pop","indie,indie pop,fave indie pop,pop,tops"
