id,spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms,artist,song,album_name,lang,genres,tags
wxb4xJcS5EVPsBeZ,12ii1NM8TjpkyGBE6OOOLj,15.0,2010,0.4920000000000001,0.902,6.0,0.0,0.617,174.065,199828,Florrie,Call of the Wild,Introduction,en,"pop,indie pop","pop,british,sexy,indie pop"
3WkzgrXBo3Q6MKpQ,2AHZHeLTPuGILKyr4l8uTU,43.0,2010,0.503,0.6459999999999999,6.0,1.0,0.463,162.134,206693,Joe Brooks,Superman,Constellation Me,en,"singer-songwriter,pop","acoustic,beautiful,love,love songs,acoustic,singer-songwriter,pop"
ulV8E19lUJTl96H8,2zmY8EID4RDNboByvYdnnB,28.0,2010,0.685,0.416,6.0,1.0,0.762,119.971,225147,Sky Sailing,Tennis Elbow,An Airplane Carried Me To Bed,en,"pop,electronic","pop,electronic,acoustic,indie"
4bwP0c8VldcIippE,7g13jf3zqlP5S68Voo5v9m,60.0,2010,0.573,0.926,6.0,1.0,0.219,117.048,278080,Robyn,Dancing on My Own,Body Talk,en,"electronic,pop,electropop","electronic,pop,dance,electropop,swedish,female vocalists"
ReiFJzmUU7fazThi,2VZ5Vtjn16RThAvaFz3sJZ,54.0,2010,0.5770000000000001,0.917,6.0,0.0,0.5820000000000001,127.992,219440,Kylie Minogue,Aphrodite,Aphrodite,en,"pop,electronic","pop,dance,female vocalists,electronic"
4obYDGdz4roNJU9f,5n1ICynaB5anb7nvyK1C0B,26.0,2010,0.638,0.904,6.0,1.0,0.696,163.959,208760,Kerli,Tea Party,Tea Party,en,"soundtrack,electronic,pop","soundtrack,electronic,alternative,pop,upbeat,female vocalists"
RsoKD3adnfF0fUwo,1adMSfD9grrrZFZyo7ICsJ,27.0,2010,0.669,0.909,6.0,1.0,0.629,128.995,196013,Kylie Minogue,Too Much,Aphrodite,en,"pop,electronic","dance,pop,electronic"
RnMjwXkW3Shletep,1XSJ3mgsnkT9DnhbXl29uf,36.0,2010,0.68,0.802,6.0,1.0,0.586,128.004,189947,Miley Cyrus,Two More Lonely People,Can't Be Tamed,en,"pop,electronic","pop,electronic,dance,female vocalists,miley cyrus"
TtvGNOu7IpAOOvs7,7ueorixD5oJzXskD3APGbA,39.0,2010,0.728,0.594,6.0,1.0,0.413,97.001,226320,Maroon 5,Misery (acoustic),Hands All Over (Deluxe),en,"rock,pop","acoustic,rock,pop,maroon 5"
6goecdTsAlz1D2k4,3dEvHRNbm7V1iZWxcFngQC,6.0,2010,0.237,0.795,6.0,1.0,0.314,129.406,230427,Suede,This Hollywood Life,The Best Of,en,"rock,pop,britpop","indie,rock,pop,20th century,britpop,british,indie"
