id	lang
0009fFIM1eYThaPg	en
0010xmHR6UICBOYT	en
002Jyd0vN4HyCpqL	en
006TYKNjNxWjfKjy	en
007LIJOPQ4Sb98qV	en
00CH4HJdxQQQbJfu	en
00DZ3XCAQb2FdCc6	INTRUMENTAL
00GCd9HYEge6Ntwi	en
00IeldeA9ijZOL0P	en
00KSCJkYb8JKa4Y3	en
00LuPWdOccBb09bW	en
00P2bHdWFkghmDqz	en
00QffgsztgGgsSzR	en
00SamUQvdyE4IFBM	pt
00XWljDxNBgBKEEA	es
00XqgeUPDVrT61xn	INTRUMENTAL
00b6fV3nx5z2b8Ls	en
00hFmpewuNvc4dRL	en
00i0OB17z3m3yamO	en
00mLjKFmaTv9MdaB	en
00sGlOdoTnPYRdQx	en
00uLdNEc6yXbIxyW	en
00wqHIO65EtRyRQM	en
00y9HkWQamxnKYkj	en
0130k7BE0WlWUQLg	en
013BFFjvohJT9dW9	en
013QDoTqbexEwkHr	en
015mOiDcGVtkg1jP	INTRUMENTAL
016u1nUp8JLDgd6W	en
019Q5nZ079pL34qa	en
01EKNot8qVgZpKM7	en
01I5p010ajulr0O5	en
01Kgo55olDKOHxQz	en
01OcWE6ZDS0RAb4I	en
01PEcXojWOku5MRB	ja
01ScM29f0wF2Mnkq	en
01UK70YxnzhjXY29	en
01WKqxhGhBvvJnwb	en
01XPcGzdaQ1hv51M	en
01Yfj2T3YTwJ1Yfy	en
01ZrNpwRWi7Ymdp5	en
01aEJBqsPHKZrLPU	INTRUMENTAL
01cSV4vNCMDB9PFw	en
01gyRHLquwXDlhkO	en
01jFG9dR1nQslWWL	en
01nQ4KgYEBMGutCI	en
01oEzhZwXGG8os3W	en
01rMxQv6vhyE1oQX	en
01roaWOWaMzXjMOV	en
01zNMO11qGa7tLqa	pt
021X4PPO8YyoVVkT	en
023KeDV5DfyxOplZ	es
0247XD85scrr19o0	en
024TpJ6teKyeGvSH	en
0273l5ZKx90qFfxJ	en
02CMntrVK1cnVK1H	en
02Fwq8lfGcaP9UMZ	pt
02G1GLGNKjF0N3FP	en
02H3FqI0CSBlYFo7	en
02IJEnORh7mcQteb	it
02IdSftu0dkA0iVg	en
02IlXCADUctM4gQG	en
02JeIZCvClyeiCA2	en
02OYdFsj4Vm1TPzK	en
02OxM7m8nuckRPQT	en
02Oy8Rwe5K5TIhjk	en
02RGE9FNH65RtMS7	en
02S1suSkE5dLFuQh	INTRUMENTAL
02Ttc68td3DKnlmw	en
02UCYtEhGjU61JpW	en
02ZVmbFaT6O2jzvP	INTRUMENTAL
02ZnlCGZEbkfCDxo	it
02aVw14JYYKIQPjB	en
02cqDSNdfTyOD1AI	en
02dc1Q6fV1ByAouz	pt
02hzaGar7vnWY4fJ	en
02io0Qj0jV8AFKAF	en
02kJNQnTgvS2rS7d	en
02nj8E8TzgIiOkiW	en
02qUw5OPfkNQ3fm4	en
02tlc7d6RtnNVG3P	en
02uQlK780Tu47T5Q	en
02vi0nu34pnQBFi6	en
031W8ollPLnlC7mE	en
034NPLNuPE5imC79	it
035ncL0cjsGJjdlA	en
038kN6re1prxGxWC	en
0396S8l04hSNqgvk	en
03HNWu7ijqITTmhS	en
03LZ9iRhQ7uFg5le	en
03LtQbTmxkIPDSau	en
03Oc9WeMEmyLLQbj	en
03PbpZwYbPjAUBqB	en
03QgQw5LI8x5RTQK	en
03SofeSkL5pqrzzo	en
03ZQb2ctptlPqj4K	es
03dA0mAJj48nT2ab	ko
03gnYayYn8Pp0OAC	en
03hJ2yGcoH3wqxP4	en
03ouHBQJK0nNWXUQ	es
03v7PvCepe2N5A6V	en
04De6xuVrG7a4Btw	en
04FGELz6IwgzTFKA	en
04JRErOFeFlp2r9E	INTRUMENTAL
04K5rnl1mJjTaio1	en
04KHUHlgU8Pg1MAu	en
04KIChLwxgxSGbkD	INTRUMENTAL
04La8lPgQyShB5dr	en
04OjszRi9rC5BlHC	en
04Q618WBtwDztix8	en
04SlsdFaQIDnfvr9	INTRUMENTAL
04TPzuBAKQbFsybr	INTRUMENTAL
04VQcD5F6IvrHdYv	en
04argIsiFAhp9MdK	en
04deZCVGi5AOgYIS	en
04elyRT3sHC2gYJK	en
04hRFEZYqKydzBBi	en
04i2mYvUTLAAPOWc	INTRUMENTAL
04iQE4VyxOcloEVY	en
04iitW3ffa0mhpx3	en
04k3rCH5GDaZmhj0	fr
04nczi4NwZVLrqHX	ko
04q3VppIQEET5rzy	en
04xUDjAYC14jsHyH	en
04xnUkMuWlj5eDgn	en
04zfuN5RyJWYXDRH	pt
0506rdPHUIeypgCP	en
052Kz3ZAzDZv1q1N	pt
053TqfoRuva4bHoj	en
059KAuaPf20vTwoR	INTRUMENTAL
059XHCE9DRtxPmRD	pt
05CDlw5x1u6DiCU4	en
05EPdUWvKgjEsb7G	en
05TEjmk7zERb9ifk	en
05TdCap8Gk4jFhSQ	en
05UIyptPzMsGBJUu	en
05UNBlb2uXPMkcN0	en
05XsL40AXmzjNMtr	en
05YiBMImmBZ7ETrk	en
05dfzMdtNY6j9ru4	INTRUMENTAL
05eO5MtW4pezH5XU	en
05jXxX3fLknEmiqi	en
05kPnJrEqt4aSFwt	en
05m78XTGJ0C81Fdw	en
05m8Scx2aFwkq6mV	en
05ogun9U0TYSNQDO	en
05wN07o5FaCodFNW	INTRUMENTAL
061VAra6dcMmBNrv	INTRUMENTAL
0632Mc6uw64xV8nF	en
063UJy9rv6oq9Mqg	en
067ZDTJ63pkB5cbb	en
069HWkkBEUhf5COD	en
069ypVgJl2FDc1F1	en
06AGErQNQo09uQYU	en
06DtRAZohpZIYvDq	en
06Ea7ZmF5wNljc0O	en
06HvNTU9M9lnH71I	en
06L9OJ5nRqKnO2q9	en
06RbXqS3HIr791iJ	en
06SC55N0G2GjCNuS	en
06STi7RGcsQIBCjD	INTRUMENTAL
06W5HKRMchnJC1qv	en
06WySIW5UDIHF2Ri	en
06bDXIXGCiYMtcUy	en
06cNniVzUDdwzA03	INTRUMENTAL
06jt8puPJmLRwXlT	en
06n2Jt96ct6Ba3U1	en
06pbFHF18RwKu4t1	en
06rteak9Y3tv2Va5	en
06tDHM4rk2EbHpnT	en
06v3fePSdhXxX3NI	en
06viA6Rt4KE728nn	en
06y9Zku5zFI8iM1Y	en
06zhrAWwQitLxdXr	en
071FteQAZNCprAq3	INTRUMENTAL
071kpG8MS2veLYAu	en
0732MPqq4gzelgm0	en
077LzyuEoxWv2NZq	en
078ndaBUEVsmdOI3	en
079OXXqfC6koNC3B	en
079gjbmpoIvJ7WGQ	en
079yVaWfDrL7ulec	en
07A6WHsWKFsZSVNk	pt
07A8gIjr1oCpQQQL	en
07AjGMk31TkPW3O9	en
07CXv8n4sD9Fy96e	pt
07DgzvdwswlSllK2	pt
07E0Wiir54qbDB8t	en
07EiCOnfR8BWkGXh	en
07JdCu6dCcvcW64b	en
07JhtfVVlSifEGu6	en
07NA52l7qNF30nxE	en
07QRvQw4sk50K7ZS	es
07RafqaqVSvbZgkr	en
07Sx1SuPHVwxCJB5	en
07ZlFqYMMkcui1ha	en
07bR4m5Oo4lvHJFW	en
07egxJjsCVK1NQYA	en
07gyukIu34j72Ujt	en
07kbgk3Au4WyGHs7	en
07kkTL6AEcAHgI9M	en
07l6L5MP8ZGyOs1H	en
07qIMK4LPj4gT40H	en
07qxWvKCXR9hamHv	en
07vFe4qlKfcEAW44	en
07wMWSylLpoThQWD	en
07x6lrZgOppJvzmw	en
07xF9Q0K1t3ist7K	pt
07xcBM8z6t2AD9LP	en
07yQ7X6NLRdax13b	en
083o6BTQGwgM2L49	en
086rZE7CKmYfYCGg	en
087FaYjmGug8BP5A	en
089LVMgimaHdtHoB	en
089XpXWesGtVd3gz	INTRUMENTAL
089YVppIyuY7ouBj	en
08GEvjq3HFO6WRNR	en
08IqqLAe7gGB9bDJ	en
08L3yHF7hDfGpfQF	en
08P6BBGpG8Gt6Vbx	en
08QtcDK0rtDFogFP	en
08REaIv7ArjY0scW	en
08WR53LGwIIC5rOS	en
08YRjFhygbKD2ddu	es
08cN8oXwIYoUACWP	en
08d9WncYqwpgHuAE	en
08dDspNuBDh8GOqV	en
08dzAKoaqjhyOunF	en
08gdfPFeDZVl1U9P	en
08hJNPwNZPqt7zsw	en
08hnvrsSdmqDkZI7	INTRUMENTAL
08ldd51HFMBOdTb5	en
08mB1OdXm6t45Mme	en
08qUOEWDMXI6eExP	en
08rMHO1Q4u44Ad7L	en
08swBeDr2z5RedVT	en
08v0FvF1HMmprM3l	en
08zwg9e6EyoOLKAt	en
090uzuvKNs2Lia38	en
091E0oFGS6sBravV	en
094iXQQOkC8wyLde	en
096Ah0Td5vLfcIgE	en
096D4MtepS0WeEkI	en
09AOCIB5yktoz8B5	en
09I4YQcdsw1PVXh8	en
09KsPOlYFGFhhNyc	en
09O9TZfv41poOgLu	en
09OFtpTVDoedoEfG	en
09OveAcM2Xu5xSzN	en
09P9CUiyEWYbGmfV	en
09PanJdaeJ98j0Pv	fr
09W5uzCuSKLQeyIC	INTRUMENTAL
09WNjzV6VqIUG2WA	en
09aWqN5dUx71Ypi2	en
09dys4xGPz7QSAK8	en
09g8LBVpv3igNHfX	en
09gv6QNbyXON5d0A	es
09kfPeHJOBfdGRlC	en
09latnlcbKIe4KkF	INTRUMENTAL
09mWmQm7ixF4cCjx	en
09qyQ5Mws5l0mybs	en
09sQQ4Vuv3Yo0im2	en
09uARho9w97Dfzgb	en
09x1tVvfWezpMRdM	en
09xsSB9n4a4B9x4U	en
09zRPbUiTrBZJoi2	en
0A0ol37RC6yxfazS	pl
0A2SGcPC1FWKGZIe	en
0A5hn2Tk34p1g4ZU	en
0AAp799NQ2h8PwTA	en
0AAuhXBDMY5N5Sbl	en
0ABJBF49m5WXiVC1	en
0AFG5X7JNVK333c3	es
0AIAF3GNPCTTkYxt	en
0AJ9DDO0qcTw5Ns3	en
0AJzNGBCKi2IphZ8	en
0AKrqUhs8ZnvrERS	en
0ARggeKq773sDdau	en
0AU0h5w9DtNGCYix	en
0AUKdqKreusplDjG	es
0AUV4mCpGOuuWNUX	en
0AUY7ibNAw87xgtA	en
0AV021POHUFH20jt	en
0AW4tvOr8GNsJOWT	en
0AWz1nDGgc77M5Iv	en
0AXuSUdG0e6nSpuH	INTRUMENTAL
0AYTHlmiiJ2Fw4lw	INTRUMENTAL
0Ac9BENyp3oekNpb	INTRUMENTAL
0AcYo3dBqDqK0VV7	pt
0AefB7IERXOmeMCM	en
0AgsubwWOBMlh2kn	en
0AgwluN9W0lyHWSX	en
0AiBI7Zr1Rtk6peL	en
0Aiob7g7f2cly9qw	en
0AkSP5ELIE58PRhf	en
0AlGixL2NbCGPjzq	en
0AliCdn6erZdBf2S	en
0AnOojGcrMBtFxQi	en
0AopqgOXmvIQeKse	en
0ApJhZ4pLRcdFh9I	en
0As2PnqzlNLJby6j	en
0At7AvzV5kHCJvIj	en
0AwfifWK4bGQ9BHN	en
0B17OyBaAAQHiZPf	en
0B2bXOAXyevoV57H	en
0B78wdYmjKnObmoE	en
0B82E0puRgXxxPTn	en
0BAuGlXt08pK8FZI	en
0BFr2vVBvPuBpIRP	en
0BGo4WmW6kmsZBK0	en
0BHQpSlNFgsZHaZE	en
0BMqZf3ufFWLUPF5	en
0BNhHXgSf5vdt8Zz	en
0BNlUFeemdBKefcG	en
0BOXhdc7gj5c6FO0	en
0BOfpnljgDlsgqz6	en
0BSVVAgpafutTBV8	en
0BU53pWjGL5lJHnv	en
0BVyGvdW4ntQDEcu	en
0BYvhImCgmjNk5Tp	en
0BZ5l1K3H4yx4qCn	en
0Ba0XoYTHcxaNBuc	en
0BdOzHVhrMWq767R	en
0BgH3QxyhVJlejdA	en
0BlvwUDitDAA0tVv	da
0BmQ2aeeFLVnAY2k	en
0BrLQlzvx1Xp0m4l	en
0BrxCsF3dd6VPd5f	en
0BupEjFaWslx6BiO	en
0BvezEqvTD2gg9On	en
0Bxz6n8PiWz84P5t	INTRUMENTAL
0C2KotdT5BSU3UzB	en
0C3hl6iMTRGD9WOE	en
0C3iDuVR1ZWWLWLS	en
0CA4qkqqM29vu6ru	pt
0CAPxz6r4T8WvkRb	en
0CCR0R8sEGMDQSsU	en
0CJwNNthAtbk3RR5	en
0CMMiPxaZGFeoumH	en
0CPaPC9EPaEERWha	ko
