id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
038kN6re1prxGxWC.mp3,0,0,0,0,0_0_0_0,0
07E0Wiir54qbDB8t.mp3,0,1,0,1,0_1_0_1,1
0GiJDgr0yn2ctll9.mp3,0,0,0,0,0_0_0_0,0
0M6hUCAfwiW9MAvh.mp3,1,1,0,1,1_1_0_1,2
0PbBzlx3pFAvg3A3.mp3,1,1,0,1,1_1_0_1,2
0ZDwbIxO5m6JVWjI.mp3,1,1,0,1,1_1_0_1,2
0g473y5n6Abn9EKK.mp3,1,1,0,1,1_1_0_1,2
0hcO6fu02UtR1iSd.mp3,0,0,0,0,0_0_0_0,0
0lS01YkgsnwAHs9c.mp3,0,1,0,0,0_1_0_0,3
0myBWSK9YBY5kzzR.mp3,1,1,0,1,1_1_0_1,2
0pyGlnBwlm5720dh.mp3,1,1,0,1,1_1_0_1,2
0qgdmHEKVUOkICJq.mp3,0,0,0,0,0_0_0_0,0
0r4GXVQMxdHlqWVw.mp3,1,0,0,0,1_0_0_0,4
11QBhFpXtB4X5Aj7.mp3,1,0,1,1,1_0_1_1,5
12JddYJLbEIcwfUa.mp3,0,0,1,0,0_0_1_0,6
12JhsAShO6upIpkM.mp3,1,1,0,1,1_1_0_1,2
17ygDyIypVaJ0Y7M.mp3,0,0,0,0,0_0_0_0,0
1B8kdPrwIsdpE6e3.mp3,1,1,0,1,1_1_0_1,2
1Co1hCIYfkilP33C.mp3,1,0,0,1,1_0_0_1,7
1EHk0DaihLrUaHUg.mp3,1,1,1,1,1_1_1_1,8
1FTNGgQ5zGpdB1xf.mp3,1,1,0,1,1_1_0_1,2
1Ff2jDfleAMkK0mP.mp3,1,0,1,1,1_0_1_1,5
1LLN8bYGc3d8ZZ1H.mp3,1,0,1,1,1_0_1_1,5
1TIUCI6mN2eCXWeL.mp3,1,0,0,1,1_0_0_1,7
1U8IQ1OlBN1FQNwa.mp3,1,1,0,1,1_1_0_1,2
1V431yH7cge7k1cL.mp3,1,1,0,1,1_1_0_1,2
1b7D5Gzbd3w8qJIm.mp3,1,0,0,1,1_0_0_1,7
1dpuzGcY4VlTMXF3.mp3,1,1,0,1,1_1_0_1,2
1iYBMx5qrvxm8s9c.mp3,1,0,0,1,1_0_0_1,7
1mOKii25oS4ECGKp.mp3,0,0,1,0,0_0_1_0,6
1mXusI3Qa7JsS9AV.mp3,0,1,0,1,0_1_0_1,1
1p3mjapyTGpNckqf.mp3,1,1,0,1,1_1_0_1,2
1qIrffQFy4Rq0Fsr.mp3,0,0,0,0,0_0_0_0,0
1uVbbgcRTRkWoa7d.mp3,0,0,0,0,0_0_0_0,0
1zlRbs9j8HJPc6LF.mp3,1,0,0,1,1_0_0_1,7
1zvDQm3OpfkzIgMM.mp3,1,1,0,1,1_1_0_1,2
22zx3DPQLZjxfmUr.mp3,1,0,0,1,1_0_0_1,7
2ABcXBBdm7nwYnOo.mp3,1,0,0,1,1_0_0_1,7
2D2Y65RCSF2HFMTa.mp3,0,0,0,0,0_0_0_0,0
2PhyQzrb1X8Os6KR.mp3,1,1,1,1,1_1_1_1,8
2QDxhoVmjRkw6NVb.mp3,1,0,1,1,1_0_1_1,5
2TAZAsRTomiImG8w.mp3,0,0,0,0,0_0_0_0,0
2XYIm1BtwsTWN2wC.mp3,1,1,0,1,1_1_0_1,2
2ZQC6QPTMkGRAcP1.mp3,0,1,0,0,0_1_0_0,3
2bzwXwT8KnjDlrjU.mp3,0,0,1,0,0_0_1_0,6
2cpH8oaloPnnsStJ.mp3,1,0,1,1,1_0_1_1,5
2jvSAsrqAkvOxF2t.mp3,0,1,0,1,0_1_0_1,1
2tKtSKusOfpozjk6.mp3,1,1,0,1,1_1_0_1,2
