id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
0010xmHR6UICBOYT.mp3,0,0,7,0,0_0_7_0,0
02Oy8Rwe5K5TIhjk.mp3,0,1,4,0,0_1_4_0,1
03QgQw5LI8x5RTQK.mp3,1,1,4,0,1_1_4_0,2
05ogun9U0TYSNQDO.mp3,1,1,0,0,1_1_0_0,3
06jt8puPJmLRwXlT.mp3,0,0,7,1,0_0_7_1,4
07AjGMk31TkPW3O9.mp3,0,1,6,0,0_1_6_0,5
0Df8PLjiYYu00yeu.mp3,1,1,3,1,1_1_3_1,6
0HOiJhLFaqgiuYCr.mp3,0,0,4,1,0_0_4_1,7
0NYG1w8NYBBz47ie.mp3,1,0,6,0,1_0_6_0,8
0RswMLgk4KS4GbIP.mp3,1,0,4,1,1_0_4_1,9
0cuo4JAsQZ337r1q.mp3,0,1,7,1,0_1_7_1,-1
0fvOVCxC0Ygk8JfK.mp3,1,1,6,0,1_1_6_0,10
0g0IT4I65GaiJBXD.mp3,0,0,2,0,0_0_2_0,11
0ieYP5stgbxpAWtW.mp3,1,1,6,0,1_1_6_0,10
0kOZA5Tv120GBBlp.mp3,0,1,6,0,0_1_6_0,5
0n8KN4mULvn0dLHt.mp3,1,1,6,0,1_1_6_0,10
0s1lX4fZwieG9qyO.mp3,1,0,2,0,1_0_2_0,12
0tC5tYcWRVjoLFgO.mp3,1,0,4,0,1_0_4_0,13
12D004Pt8nBW4Qyx.mp3,1,1,6,0,1_1_6_0,10
1Eat2dXRmH9lDF25.mp3,1,0,3,1,1_0_3_1,14
1ImkA64Fq4VHuG7j.mp3,0,0,3,1,0_0_3_1,15
1KGKpWkeW70Knm0L.mp3,0,0,6,1,0_0_6_1,16
1KMrXxSrbgfYDtbU.mp3,0,0,4,1,0_0_4_1,7
1NU0GJO0o4M0rYuf.mp3,1,0,6,0,1_0_6_0,8
1QviZMRbz8J4Ka5g.mp3,1,1,4,0,1_1_4_0,2
1YRrEz1rZzRjtjA3.mp3,0,0,7,0,0_0_7_0,0
1ZsNuMxsdHv7HQyc.mp3,0,1,6,0,0_1_6_0,5
1czndztZjHgIwLqi.mp3,1,0,6,1,1_0_6_1,17
1iZebQYVnYoFkbHr.mp3,0,0,6,0,0_0_6_0,18
1k6vE0lutJ80m6GB.mp3,1,0,6,0,1_0_6_0,8
1oRoiXcfTOeYXegg.mp3,0,0,4,1,0_0_4_1,7
1uxHUDxoLtsXNZ5R.mp3,1,0,6,0,1_0_6_0,8
1zu5jVcv8bMMBQeB.mp3,1,0,2,0,1_0_2_0,12
23aA0GPz7veDbuJs.mp3,0,1,0,0,0_1_0_0,-1
26G4HCQnXhXsiW5B.mp3,1,1,6,0,1_1_6_0,10
26TCLWrkW6Qxh4yH.mp3,0,0,2,1,0_0_2_1,19
28i4sH1HlOkzypzt.mp3,1,1,4,0,1_1_4_0,2
2HlUsiHeIt1bwRLE.mp3,0,1,4,0,0_1_4_0,1
2VbVKaA3VDsss4q3.mp3,1,0,6,0,1_0_6_0,8
2XyyURUsZsPTJet6.mp3,1,1,6,0,1_1_6_0,10
2YZYTQ4HetQ78I2b.mp3,1,0,3,1,1_0_3_1,14
2bH01h8dBvli01lz.mp3,0,0,2,1,0_0_2_1,19
