id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
03PbpZwYbPjAUBqB.mp3,1,1,1,0,1_1_1_0,0
06HvNTU9M9lnH71I.mp3,0,1,0,1,0_1_0_1,1
07JhtfVVlSifEGu6.mp3,1,1,0,0,1_1_0_0,2
0BOXhdc7gj5c6FO0.mp3,1,1,0,0,1_1_0_0,2
0EpKmvAtKRgZaLfK.mp3,1,0,0,1,1_0_0_1,3
0FDkablgTBYukNDg.mp3,0,0,0,0,0_0_0_0,4
0GzyFPRfm2cwXzHR.mp3,0,1,0,0,0_1_0_0,5
0QgrM6OrGLmgwyMO.mp3,0,0,0,1,0_0_0_1,6
0SI6oF0XlACvZdQT.mp3,0,0,0,1,0_0_0_1,6
0WMcjLENc3JlYAPw.mp3,1,0,0,1,1_0_0_1,3
0YUy5YHYSJMUeUlr.mp3,0,1,0,1,0_1_0_1,1
0b5EYkNDKomeztzL.mp3,0,1,1,0,0_1_1_0,7
0dn1oa1Ujisn0nCT.mp3,1,1,0,0,1_1_0_0,2
0dn6u1qHmbl3T2DB.mp3,0,0,0,1,0_0_0_1,6
0fl6cO2sOiQjRKyH.mp3,0,1,0,1,0_1_0_1,1
0qeLYkLmWtBolLbh.mp3,1,0,1,1,1_0_1_1,-1
0ylNFDWBjq7HoaRR.mp3,1,0,0,1,1_0_0_1,3
12J0SifUY3ZcE7dL.mp3,1,0,0,0,1_0_0_0,8
15tLvTjDxU197oBT.mp3,0,1,0,0,0_1_0_0,5
17z4NTAHHVech2oB.mp3,0,0,0,1,0_0_0_1,6
18pjuY7XYWysBPgj.mp3,1,1,1,0,1_1_1_0,0
18wXzAQFuYxsDFdN.mp3,1,0,0,0,1_0_0_0,8
19qh48VRL4dKYaq7.mp3,1,1,1,0,1_1_1_0,0
1AJauhPSMOv6LAK4.mp3,1,1,0,1,1_1_0_1,9
1EhoPstBUguE4Btf.mp3,0,0,0,1,0_0_0_1,6
1FXovRkCtv0SIMgk.mp3,1,0,0,1,1_0_0_1,3
1JVL73hI02AYNFkA.mp3,1,1,1,0,1_1_1_0,0
1LGsQji1CXzFFbq2.mp3,0,0,0,1,0_0_0_1,6
1NsowJzjR0ePMYfC.mp3,0,1,0,1,0_1_0_1,1
