id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
0ApJhZ4pLRcdFh9I.mp3,0,1,1,0,0_1_1_0,0
0C3hl6iMTRGD9WOE.mp3,1,0,1,1,1_0_1_1,1
0FRbAryyGkmjiLe3.mp3,1,1,0,1,1_1_0_1,2
0Mbg5y8qzJ470iUd.mp3,1,0,1,1,1_0_1_1,1
0ODvAnEaWNDIQ6If.mp3,1,0,0,1,1_0_0_1,3
0PB1veE0u4f2dKUb.mp3,1,0,1,1,1_0_1_1,1
0S9SlB8e0ndWGztx.mp3,1,0,1,1,1_0_1_1,1
0SB7NAI7mNnsVKrn.mp3,1,0,1,1,1_0_1_1,1
0Tw7xPCFY8Kkznev.mp3,1,0,1,1,1_0_1_1,1
0UpQI249wEMvzfOz.mp3,1,0,1,1,1_0_1_1,1
0WHi0iJApCrg1iY1.mp3,1,0,1,0,1_0_1_0,4
0ZqOgfNvkjHbslBS.mp3,1,1,1,1,1_1_1_1,5
0eX86eAORfHlH1OM.mp3,1,0,1,1,1_0_1_1,1
0f9cdIdkM6V4lICS.mp3,1,0,1,1,1_0_1_1,1
0gnIRslG9tjTogY6.mp3,0,0,0,0,0_0_0_0,6
0jKwPLYb6trS9vUG.mp3,1,0,1,0,1_0_1_0,4
0kBbIYsHf3fVNTqd.mp3,1,1,1,1,1_1_1_1,5
0mpDFb1MSL6M6QDw.mp3,1,1,1,1,1_1_1_1,5
0z3tk45gtCKr0FOg.mp3,1,0,1,1,1_0_1_1,1
15oQvCP96HHSz0XJ.mp3,1,0,1,1,1_0_1_1,1
1DIdiL0TFcZGiqWI.mp3,1,0,1,1,1_0_1_1,1
1I245hqKL1Y9MnGl.mp3,1,0,1,1,1_0_1_1,1
1Lm3YWphZov5se00.mp3,1,0,1,1,1_0_1_1,1
1PbkQt0nm4wlaQB9.mp3,1,0,1,1,1_0_1_1,1
1Q6H07BqIXuEIqpl.mp3,1,0,1,1,1_0_1_1,1
1QFLmBdd5L6j9GDO.mp3,1,0,0,1,1_0_0_1,3
1Rr5BrZLyxiJzWSS.mp3,1,0,0,1,1_0_0_1,3
1XqQhTYiCr9nL2zK.mp3,1,1,1,1,1_1_1_1,5
1iXpa8TkY14CtUCp.mp3,1,0,1,1,1_0_1_1,1
1lGtSHBmVlovbFbF.mp3,1,0,1,1,1_0_1_1,1
1oDowKjPc0F9eQus.mp3,1,0,1,0,1_0_1_0,4
1pI5sU0YF2i5wSPk.mp3,0,1,0,0,0_1_0_0,7
1u3dfJg7WTsoJkuF.mp3,1,0,1,1,1_0_1_1,1
1vmSuUjNkL6o5h7h.mp3,1,0,1,0,1_0_1_0,4
1y4PiMxogw5lEdjN.mp3,1,0,0,1,1_0_0_1,3
21DVsjIS6lIpNNl9.mp3,2,0,1,1,2_0_1_1,8
23NOs1w2qaSzSLE4.mp3,0,1,0,0,0_1_0_0,7
2MMQbmVY5uFMXQNB.mp3,1,1,1,1,1_1_1_1,5
2RAfk7Tehx5ScSNx.mp3,1,1,1,1,1_1_1_1,5
2Ug2BJtfpP8ZCBEE.mp3,1,0,1,1,1_0_1_1,1
2UyCvHz97bzNgA5C.mp3,1,1,1,1,1_1_1_1,5
2aa7Med3uedgOYLC.mp3,1,1,1,1,1_1_1_1,5
2e83Mc4JdKBjVHjo.mp3,1,0,1,1,1_0_1_1,1
2eKEeOfxNK4bxQp0.mp3,1,0,1,1,1_0_1_1,1
2lujYv1SW2hLEXTe.mp3,0,1,0,0,0_1_0_0,7
2mc0BbRCeMPz5iU3.mp3,1,0,1,1,1_0_1_1,1
2mr2D2YlNzyTPwKC.mp3,1,0,1,1,1_0_1_1,1
2wAj6vUC6Ec8E14t.mp3,1,0,1,1,1_0_1_1,1
32A6liEhlhw7qIz7.mp3,2,0,1,1,2_0_1_1,8
37HDVNx7nYxVMRkJ.mp3,0,1,1,0,0_1_1_0,0
3JE29PEc1nCKyA47.mp3,1,1,1,0,1_1_1_0,9
3MUICIzWfdSI2exA.mp3,0,1,1,0,0_1_1_0,0
3R1U4t8F9OHH8msx.mp3,1,0,1,1,1_0_1_1,1
3VFpUwJGHQL6svQm.mp3,1,0,1,1,1_0_1_1,1
3WBclBJentcQG7rE.mp3,1,1,0,1,1_1_0_1,2
3Xhsdv6PqLlOIJoY.mp3,1,0,1,0,1_0_1_0,4
3bJHFL0lIml5vRPJ.mp3,1,0,1,1,1_0_1_1,1
3cpPdauxJRJ3t80x.mp3,1,0,1,1,1_0_1_1,1
3gcxfPGtMcYo2whd.mp3,0,0,1,1,0_0_1_1,10
3iY1zreN7QSLzrR2.mp3,0,1,1,0,0_1_1_0,0
3kjR92kZBsyFnY8a.mp3,1,0,1,1,1_0_1_1,1
3nIwXUq2mooSGoWA.mp3,1,0,1,1,1_0_1_1,1
3r5PAThZOnoWhulV.mp3,1,1,1,1,1_1_1_1,5
3uJnFApVJw8MLnwx.mp3,1,0,1,1,1_0_1_1,1
3xUhYIJLvaqteq6c.mp3,1,0,1,1,1_0_1_1,1
41iRWmVivXhEGss7.mp3,1,0,1,1,1_0_1_1,1
46raFmpszh2FFUsx.mp3,0,1,1,0,0_1_1_0,0
493FdRxunGnPwwV2.mp3,1,0,1,1,1_0_1_1,1
4982DC34f7SvSMbo.mp3,1,0,1,1,1_0_1_1,1
4AqySrswNtJkHDfY.mp3,1,0,1,1,1_0_1_1,1
4ArdlFwTyt7DVIFW.mp3,1,0,0,1,1_0_0_1,3
4ENGbcTqz1QInFCN.mp3,1,0,1,1,1_0_1_1,1
4NaZCm3hthEQE9oj.mp3,1,0,1,1,1_0_1_1,1
4RH0bstXSpQfieBV.mp3,1,0,1,1,1_0_1_1,1
4XTKxhjdRdw1DzKy.mp3,1,1,1,1,1_1_1_1,5
4dSkl59yRDOfSLv9.mp3,1,0,1,1,1_0_1_1,1
4efyoFMIZDsjRZxl.mp3,1,0,0,1,1_0_0_1,3
4lFCAs3HU0uzrl2C.mp3,1,0,1,1,1_0_1_1,1
4mhmSdRmnG0tO3M9.mp3,0,1,1,0,0_1_1_0,0
52HEXtsUTVtCeJTd.mp3,1,1,1,1,1_1_1_1,5
54yb9SE9hjynJWBG.mp3,1,0,0,1,1_0_0_1,3
55NFbUKoRgyEyQXB.mp3,1,0,1,1,1_0_1_1,1
5EhorbjgWx6gQWck.mp3,1,0,0,1,1_0_0_1,3
5GiSC5MfWKV4sDvM.mp3,1,1,1,1,1_1_1_1,5
5IB9RYKn9SSuXQlD.mp3,1,0,0,0,1_0_0_0,11
5IYKh7yW3GoLtzKb.mp3,1,0,1,1,1_0_1_1,1
5JU6OchSjHQml2wY.mp3,1,0,1,1,1_0_1_1,1
5PZpA1yd97J4YBvM.mp3,1,0,0,1,1_0_0_1,3
5RGYQB2nSbsAzMgk.mp3,1,0,1,1,1_0_1_1,1
5SHBToIKSwKCCjgv.mp3,1,1,1,0,1_1_1_0,9
5SIHj3f3uuNWjwUw.mp3,1,0,1,1,1_0_1_1,1
5UMTAKMTlCSAmso4.mp3,1,0,1,1,1_0_1_1,1
5UsPCoV0wdmurO2n.mp3,1,0,0,1,1_0_0_1,3
5W7t9ef1xUmDAqh4.mp3,1,0,1,1,1_0_1_1,1
5XUBR4ksIWggugWk.mp3,1,0,0,1,1_0_0_1,3
5eXfAMTBhgxWHP9B.mp3,0,1,1,0,0_1_1_0,0
5ivR9lZ6yU5OJLXx.mp3,1,0,1,1,1_0_1_1,1
5rGH8retKa22LyUD.mp3,1,0,0,1,1_0_0_1,3
5tLr7B4XerbI7gZO.mp3,1,1,1,1,1_1_1_1,5
5y5FDrBgf9NjPvjc.mp3,1,0,1,1,1_0_1_1,1
63Rc95jxs3kaqwuI.mp3,1,0,1,1,1_0_1_1,1
6D7zrK0Adoi9k7BF.mp3,0,1,1,0,0_1_1_0,0
6VDM3q5I6wMor7rH.mp3,2,1,1,1,2_1_1_1,12
6VlZGqtAifskaaJp.mp3,1,0,1,1,1_0_1_1,1
6ZjeKuBzH5KIdJEZ.mp3,1,0,1,1,1_0_1_1,1
6h1TscClEguq2gET.mp3,1,0,1,1,1_0_1_1,1
6xE7d6rI7KSUoQur.mp3,2,0,1,1,2_0_1_1,8
75clzCiieKjxbQ0L.mp3,2,0,1,1,2_0_1_1,8
7AEO6ySVblr42fGc.mp3,1,1,1,1,1_1_1_1,5
7CH7IWjWCLTqcTPZ.mp3,1,0,1,1,1_0_1_1,1
7Jb6lWzY85ZG6Tby.mp3,1,0,1,0,1_0_1_0,4
7MMJvLgtuJMNrBWU.mp3,1,0,1,1,1_0_1_1,1
7MhSmnr1Ub9Dtmas.mp3,1,1,1,1,1_1_1_1,5
7SIIEdazDlslNWZM.mp3,1,1,1,1,1_1_1_1,5
7Y64uiItapJeZ18i.mp3,0,0,0,1,0_0_0_1,-1
7YxAat4W7aj7eTsJ.mp3,1,1,1,1,1_1_1_1,5
7aQTkNXfuS44Nmwv.mp3,1,0,1,1,1_0_1_1,1
7alHkTpqV2cbf8G6.mp3,1,0,0,1,1_0_0_1,3
7bwYbJNJB1uCcPqg.mp3,1,0,1,1,1_0_1_1,1
7c15dUn8LivFy1eO.mp3,1,1,1,1,1_1_1_1,5
7f4DDXOxn8BAl6bq.mp3,1,0,1,1,1_0_1_1,1
7gdNH895PAn3fbEK.mp3,0,1,1,0,0_1_1_0,0
7h6MwPMPe48gCGfN.mp3,1,1,1,1,1_1_1_1,5
7hEOpxN30iOHNMFM.mp3,1,1,1,1,1_1_1_1,5
7kJvPkVRf92v2nWH.mp3,1,0,0,0,1_0_0_0,11
7nlrtet64qvV65FT.mp3,0,1,1,0,0_1_1_0,0
7qzfoPgNO8yZHy7m.mp3,1,0,0,1,1_0_0_1,3
7sBiCgrEmOCaIEMt.mp3,1,0,1,1,1_0_1_1,1
7vU240k6SkZsC4cY.mp3,1,0,1,1,1_0_1_1,1
7wkvUWbEGKmPyyqH.mp3,1,0,0,1,1_0_0_1,3
7wueyJePfVQEVNPs.mp3,1,0,1,1,1_0_1_1,1
7xk8cQNjMoucaUhm.mp3,1,0,1,1,1_0_1_1,1
80UOFR8SV2IL2Skb.mp3,1,0,1,1,1_0_1_1,1
86ULlNLaOdTF2pFj.mp3,1,0,1,1,1_0_1_1,1
86nfp07wP3lzwuiB.mp3,1,1,1,1,1_1_1_1,5
87dM2jCka3uQ9jCe.mp3,1,0,0,1,1_0_0_1,3
8BjYmJ2Fw0q23U4i.mp3,1,0,1,1,1_0_1_1,1
8CExdszd30jw56VJ.mp3,2,0,1,1,2_0_1_1,8
8LfmAu2WSA2mn0y2.mp3,1,0,1,0,1_0_1_0,4
8UX99N6VKKy1hyQ1.mp3,1,0,1,1,1_0_1_1,1
8WWlmuIic1hYhN1u.mp3,1,0,1,1,1_0_1_1,1
8asbbpARsyM1FaRg.mp3,0,0,1,0,0_0_1_0,13
8b1hkaqqVq7pqPNr.mp3,0,1,1,0,0_1_1_0,0
8ig1HoDpdn0IL96U.mp3,1,0,1,1,1_0_1_1,1
8kORMF4tcvmG13f4.mp3,1,1,0,1,1_1_0_1,2
8masUWiXv5aliWOg.mp3,2,0,1,1,2_0_1_1,8
8oLjdG6ftZe5IAKm.mp3,1,0,0,1,1_0_0_1,3
8pI3bOm7hUcx9jJQ.mp3,1,0,1,1,1_0_1_1,1
8r1NxrOS7rF7hWnK.mp3,1,0,0,1,1_0_0_1,3
8uPHhxBMDzH9yYiJ.mp3,1,1,1,1,1_1_1_1,5
8wQgwWsAFDanIdEh.mp3,1,0,0,1,1_0_0_1,3
8xH9pR9V8fmRYoFO.mp3,1,1,1,0,1_1_1_0,9
8y4w47li0bSyUI73.mp3,1,1,1,1,1_1_1_1,5
9ELPTClVb5V65ZW1.mp3,1,0,1,1,1_0_1_1,1
9F41T5Gd97ylZyXY.mp3,1,0,1,1,1_0_1_1,1
9LhYEVoKjUsyXsVE.mp3,1,0,1,1,1_0_1_1,1
9N4uApqRXaxKT4eP.mp3,1,0,1,1,1_0_1_1,1
9RYaiDUdGHvvyG4a.mp3,1,0,0,1,1_0_0_1,3
9TxsRGUgweBKRkUG.mp3,1,1,1,1,1_1_1_1,5
9WuGOercIqTWhUED.mp3,0,1,1,0,0_1_1_0,0
9cbBOy5wMBZbZ1oi.mp3,0,0,1,0,0_0_1_0,13
9d8VvIeEUzhqT2Kt.mp3,1,0,1,1,1_0_1_1,1
9fkzPCesMljHgzIq.mp3,1,0,1,1,1_0_1_1,1
9jhfWbs8Epd0rHnE.mp3,1,0,1,1,1_0_1_1,1
9lBRtANvWC8EqDg4.mp3,1,0,1,1,1_0_1_1,1
9mKyIO5yjU1UrMvj.mp3,0,1,1,0,0_1_1_0,0
9mRihHUG5jqTvn5N.mp3,1,1,1,1,1_1_1_1,5
9oWhjVSJnq2kroXb.mp3,1,0,1,1,1_0_1_1,1
9rgJsDDeGxdXkHOz.mp3,1,1,1,0,1_1_1_0,9
9uNAfVs1S37GGBpR.mp3,1,0,1,1,1_0_1_1,1
A5pLP4JrR5uAmoGY.mp3,0,1,1,0,0_1_1_0,0
AAl7nk4UyVmjd809.mp3,1,0,1,1,1_0_1_1,1
AJMQkbqlpmepwkd4.mp3,0,0,0,0,0_0_0_0,6
AJRKV0wmT7kZuUR5.mp3,1,0,1,1,1_0_1_1,1
AMvtrbBXBetxxrxy.mp3,1,0,0,1,1_0_0_1,3
ANQ7cxM26F8hCmSD.mp3,1,0,1,1,1_0_1_1,1
AOgZh9rmEMnUyq5j.mp3,1,0,1,1,1_0_1_1,1
AP20yI3SO2tbApxm.mp3,1,0,1,1,1_0_1_1,1
AQ3YRwC2GUyonGJd.mp3,1,0,1,1,1_0_1_1,1
AR9txqQDASJjK9OP.mp3,1,1,1,1,1_1_1_1,5
ARawIzJnTNe3BShL.mp3,1,0,1,1,1_0_1_1,1
ARsIQ58PLnKv0DI9.mp3,1,0,0,1,1_0_0_1,3
AUfNNLCU7OYqQYAb.mp3,1,1,1,1,1_1_1_1,5
AcrYMhCX2bBnnzog.mp3,1,0,0,1,1_0_0_1,3
AiR2TLcVYjfY69ei.mp3,1,0,1,1,1_0_1_1,1
Am4CYm0oZdEkUWX0.mp3,1,0,1,1,1_0_1_1,1
AmWBZSfn5SbR3Q3F.mp3,1,0,1,1,1_0_1_1,1
AtzcPoryfXFajoHI.mp3,1,1,1,0,1_1_1_0,9
AzrmVKxzAk6b32oD.mp3,1,0,0,1,1_0_0_1,3
B04eXeErDzL75q2k.mp3,1,1,1,0,1_1_1_0,9
B1jMm6WEWuyaP1Oa.mp3,0,1,1,0,0_1_1_0,0
B379TG7hDI0wAv31.mp3,1,0,0,1,1_0_0_1,3
B3b2hvweF4oipen5.mp3,1,0,1,1,1_0_1_1,1
B5CehbyalmwJnrh1.mp3,2,1,1,1,2_1_1_1,12
BFCnSt8p5qepidjD.mp3,1,1,0,1,1_1_0_1,2
BFLrLTmIBNRQgPst.mp3,1,0,1,1,1_0_1_1,1
BKnTQxqe1KAj03wT.mp3,1,0,0,1,1_0_0_1,3
BLtIPttR5ARXvGsJ.mp3,1,1,1,1,1_1_1_1,5
BNsN0bXY3iTUdmbM.mp3,1,1,1,1,1_1_1_1,5
BOJpgsutP5nMt867.mp3,1,0,1,1,1_0_1_1,1
BPV8U8aynL6zJnLh.mp3,1,1,1,1,1_1_1_1,5
BRZGmSpKVNqjXMrR.mp3,1,1,1,1,1_1_1_1,5
BfEVnvIhPYmITmTM.mp3,1,1,1,1,1_1_1_1,5
BoFcfcmQLe4RFz2e.mp3,1,0,1,1,1_0_1_1,1
BrsGgU1kzFBowbiE.mp3,1,0,0,1,1_0_0_1,3
BszNXfQE6JM9Se2E.mp3,0,1,1,0,0_1_1_0,0
BulNLyUT6EYbxXCz.mp3,0,0,1,1,0_0_1_1,10
C3EiRrRJANHpGn0e.mp3,0,1,1,0,0_1_1_0,0
C512RQuZ1Sbvz03O.mp3,1,0,1,1,1_0_1_1,1
C5efuW8XHFyqtw0B.mp3,1,1,1,1,1_1_1_1,5
C8Kc0HwlNArZwwaY.mp3,1,0,0,1,1_0_0_1,3
CBxO9tvpYElbS5hL.mp3,1,0,1,1,1_0_1_1,1
CDzPhtF0kZXKvmPV.mp3,1,0,0,1,1_0_0_1,3
CENoSHestpWAPWUi.mp3,2,0,1,1,2_0_1_1,8
CSzJbE56BOGDH2bL.mp3,1,0,0,1,1_0_0_1,3
CUls7VMfXuRd0kxQ.mp3,1,0,0,1,1_0_0_1,3
CeEvTuVwUlXnSn7z.mp3,1,0,1,1,1_0_1_1,1
CffbztRNwoT172h6.mp3,1,1,1,1,1_1_1_1,5
CjWYjbj5ckRShRZh.mp3,0,1,0,0,0_1_0_0,7
Ckc4EvqhFsQz9Het.mp3,1,0,1,1,1_0_1_1,1
Ckk4oJEmowaPLfzg.mp3,1,1,0,1,1_1_0_1,2
CmG7AsIFxbOojGvP.mp3,0,1,0,0,0_1_0_0,7
Cprt22sYrfWRz3OH.mp3,1,1,1,0,1_1_1_0,9
CrHQ8Z7LmLM5BM3P.mp3,1,0,1,1,1_0_1_1,1
Cse4wkzig03ZT86e.mp3,1,0,1,1,1_0_1_1,1
CvVHzDk13GXsN0gK.mp3,1,0,1,1,1_0_1_1,1
CwOl33MARfgL5VU0.mp3,1,1,1,1,1_1_1_1,5
D0Mr4Cb8mU3unca3.mp3,1,1,1,1,1_1_1_1,5
D2Cbm7fHdSkYqky1.mp3,1,1,1,1,1_1_1_1,5
D8nOD6fVkUJc2kPS.mp3,1,0,1,1,1_0_1_1,1
DAe3mefFwIAwfER7.mp3,1,0,1,1,1_0_1_1,1
DDQPjgCu1UlQt19H.mp3,1,0,1,1,1_0_1_1,1
DHiEdWnCKBLEUNi7.mp3,1,0,0,1,1_0_0_1,3
DJmigMW27NnXFqgw.mp3,1,0,1,1,1_0_1_1,1
DMU5Xpt3URhjXqc4.mp3,0,0,1,0,0_0_1_0,13
DQe0G4J4BTXktTjg.mp3,0,0,1,0,0_0_1_0,13
DTD5npCClmRjoglO.mp3,1,0,0,0,1_0_0_0,11
DZgccieoZx4s7hOE.mp3,1,0,1,1,1_0_1_1,1
Dc3IOgnrk2rIGo52.mp3,1,0,1,1,1_0_1_1,1
DdT8DJw45Jz5hAAx.mp3,1,0,1,1,1_0_1_1,1
DiFaoOr5Qgs91ZGE.mp3,0,1,0,0,0_1_0_0,7
Djl6z0p7jRWO9aTQ.mp3,2,0,1,1,2_0_1_1,8
DjoLWEnSQXzc8y6d.mp3,1,0,1,1,1_0_1_1,1
DmFgI4C3DRandDLE.mp3,2,0,1,1,2_0_1_1,8
DpOrjxcL1bWudwYV.mp3,1,0,1,1,1_0_1_1,1
DqWXzJvyRsdTQ0Qk.mp3,1,0,0,1,1_0_0_1,3
E3vBkbtJcgUGxpkt.mp3,1,1,0,1,1_1_0_1,2
E52i6r9AlZlBq8Ae.mp3,1,0,1,1,1_0_1_1,1
E7CzwJrYV3hdXo6V.mp3,1,1,1,1,1_1_1_1,5
EGywWsHEJRpzqft2.mp3,1,1,1,1,1_1_1_1,5
EJbB1DziKslgM09i.mp3,0,0,1,0,0_0_1_0,13
ELujv4vpJ6Yi9L0B.mp3,1,0,1,1,1_0_1_1,1
ENW0vRCoCuqQy4EI.mp3,0,0,1,1,0_0_1_1,10
EQq7jbyHrpMDZt7g.mp3,1,0,1,1,1_0_1_1,1
Eh9WTXcblUPPvvYG.mp3,1,1,1,0,1_1_1_0,9
EiXli5rUvh6LDaPM.mp3,1,1,1,1,1_1_1_1,5
Er6PNU0InaUcP1yX.mp3,1,1,1,1,1_1_1_1,5
EuNmP5GvjOO1BZQx.mp3,1,0,0,1,1_0_0_1,3
EvS3yFyXTbhx3UXD.mp3,1,1,1,0,1_1_1_0,9
F4nRaePdmJSJVHda.mp3,1,0,1,1,1_0_1_1,1
F5v99uEogy4tIDa4.mp3,1,0,1,1,1_0_1_1,1
