id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
00mLjKFmaTv9MdaB.mp3,1,0,6,0,1_0_6_0,0
06AGErQNQo09uQYU.mp3,0,1,7,1,0_1_7_1,1
07x6lrZgOppJvzmw.mp3,0,1,5,1,0_1_5_1,2
0A5hn2Tk34p1g4ZU.mp3,0,0,5,1,0_0_5_1,3
0ABJBF49m5WXiVC1.mp3,1,0,0,0,1_0_0_0,4
0Kdq3l3gHxgkoTt6.mp3,1,0,1,0,1_0_1_0,5
0MlouT1rCMQlu1Ps.mp3,1,1,1,1,1_1_1_1,6
0eYMyFT6MQ11hm68.mp3,0,0,1,0,0_0_1_0,7
0gcEotg77nzn8Y0G.mp3,0,1,0,1,0_1_0_1,8
0hW3jP2dfO2opRb8.mp3,0,0,0,1,0_0_0_1,9
0hbliV6FyurUdvo8.mp3,0,1,5,0,0_1_5_0,10
0nRZDhvxdZ5ftNwv.mp3,0,0,1,1,0_0_1_1,11
0nyBXLDfeZUbsqHa.mp3,1,0,1,0,1_0_1_0,5
0pbLJMdXWBoQN4A3.mp3,0,1,4,1,0_1_4_1,12
0r15MBZkjvHovNPk.mp3,0,1,5,1,0_1_5_1,2
0xq0fwdWRCV9cT9A.mp3,1,1,9,1,1_1_9_1,-1
10jLKEfUiRsDEha1.mp3,1,1,1,0,1_1_1_0,13
10k46UiNX0QAjCHX.mp3,0,1,8,1,0_1_8_1,14
10tZIJL0n1dxV1Cs.mp3,1,0,0,0,1_0_0_0,4
13Z4pakUQ2vBgBiK.mp3,1,1,10,1,1_1_10_1,-1
13dYsTTwV3aG0gqH.mp3,1,0,3,0,1_0_3_0,15
147m2Rt3GO6x917C.mp3,0,1,9,1,0_1_9_1,16
14XrHngwi1NTttF5.mp3,0,0,6,0,0_0_6_0,-1
18wOoBOuWEK5yclI.mp3,0,0,1,0,0_0_1_0,7
19dc9qeCTvGmr08r.mp3,1,0,4,0,1_0_4_0,17
1A0iLmuUz0xJu91k.mp3,0,1,5,1,0_1_5_1,2
1DxHjPS6xQpp5vqz.mp3,2,0,3,1,2_0_3_1,-1
1GSDmIvOnj3wQ4zi.mp3,1,0,0,0,1_0_0_0,4
1GX3zPl6DaMjCoYx.mp3,0,1,9,1,0_1_9_1,16
1IBHNIcbKXId8a0X.mp3,0,1,7,1,0_1_7_1,1
1OAeEHzoQXvoQOOz.mp3,0,0,5,0,0_0_5_0,18
1OAfe3DiTc78qYXz.mp3,0,0,7,0,0_0_7_0,19
1SGMVDJNccyTE8CF.mp3,0,1,5,1,0_1_5_1,2
25BKJGInFyUhx01M.mp3,1,0,4,0,1_0_4_0,17
295A8c01sRkUrIh5.mp3,0,0,1,1,0_0_1_1,11
2D0ri1wZi7ewKiCS.mp3,0,0,7,1,0_0_7_1,20
2DG6VPhB8fVYBmzw.mp3,1,0,10,0,1_0_10_0,-1
2Pu8pCyYug0Fxq9o.mp3,1,0,8,0,1_0_8_0,21
2WdBEDs0Hv38ryOh.mp3,0,1,0,1,0_1_0_1,8
2bd2763C8Ue15RlM.mp3,0,1,2,1,0_1_2_1,22
2g7rK3JiB03urP1B.mp3,0,0,0,0,0_0_0_0,23
2ntO4KxjzZ3Uqp0M.mp3,1,0,4,0,1_0_4_0,17
2rZuzkjBw1zoHScG.mp3,0,1,10,1,0_1_10_1,24
2tcOTb3VCaDbcrxd.mp3,0,1,10,1,0_1_10_1,24
2xL8QdTcXp5DnMdv.mp3,0,1,8,0,0_1_8_0,25
2zA9Yuz4zTJmYCOy.mp3,0,0,1,0,0_0_1_0,7
30s684qR17kdPXFt.mp3,0,0,7,0,0_0_7_0,19
3BwoFJduwNNHbNV3.mp3,0,1,1,1,0_1_1_1,26
3DoZac2uua0tmiDE.mp3,0,0,7,1,0_0_7_1,20
3FJEo2izgyIYtrQo.mp3,1,0,0,0,1_0_0_0,4
3IeeFbNeFOlOiJOC.mp3,1,0,8,1,1_0_8_1,-1
3PEXKAcdgL8GRxjc.mp3,0,1,0,1,0_1_0_1,8
3WFmGh8gUEoUiCQB.mp3,0,0,0,1,0_0_0_1,9
3Wti6ptQ8y3bgqYz.mp3,0,0,4,1,0_0_4_1,27
3aUULBN6wm4Ca0GY.mp3,0,0,5,1,0_0_5_1,3
3bNg16LahsLAIuPC.mp3,0,0,6,0,0_0_6_0,-1
3d54wfgrvKPyPQOW.mp3,0,1,6,1,0_1_6_1,28
3dGgyYv4Br1vyqFl.mp3,0,1,4,1,0_1_4_1,12
3gcuQKQLqbhxi4kB.mp3,0,0,2,1,0_0_2_1,29
3pLZ3brCoWQbT3kq.mp3,1,0,5,1,1_0_5_1,-1
3vila6JagtUab3Pq.mp3,0,0,10,1,0_0_10_1,-1
3x3nxkw32X5YRcl4.mp3,1,0,4,0,1_0_4_0,17
3zUyOYNXvC2DSbHk.mp3,0,0,9,1,0_0_9_1,30
3znWpQrvfXHgXgOg.mp3,1,0,1,0,1_0_1_0,5
411ZaHLGu6RPIFdt.mp3,0,0,2,0,0_0_2_0,31
48h8ZUOyuHAibPL7.mp3,0,0,9,1,0_0_9_1,30
4BiVmfZuPae95kmo.mp3,0,0,7,0,0_0_7_0,19
4D8c4sSLzfkTCtic.mp3,0,1,0,1,0_1_0_1,8
4E9N3mIUavFVxMEz.mp3,0,1,1,1,0_1_1_1,26
4LgU0HMsp3HcCiCp.mp3,1,1,5,0,1_1_5_0,32
4OVhogXwOgUbrZvS.mp3,1,1,1,0,1_1_1_0,13
4OdvTnb5izTkbXGY.mp3,0,1,10,1,0_1_10_1,24
4XBlcmoIA0nOQ3tZ.mp3,0,1,5,1,0_1_5_1,2
4YpyOpdMxp02roEb.mp3,0,1,6,0,0_1_6_0,33
4Z9A3VhU0R7tgxWJ.mp3,1,0,3,0,1_0_3_0,15
4grnFRYaFqqWlKXE.mp3,0,0,2,1,0_0_2_1,29
