id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
01XPcGzdaQ1hv51M.mp3,0,1,0,1,0_1_0_1,0
091E0oFGS6sBravV.mp3,1,1,1,0,1_1_1_0,1
0BGo4WmW6kmsZBK0.mp3,1,1,1,1,1_1_1_1,2
0K2vsBA9smDZxKno.mp3,1,1,1,0,1_1_1_0,1
0KWBvoxQeqLZtb8g.mp3,1,1,1,0,1_1_1_0,1
0d8dtktkM6VnevXq.mp3,1,1,1,0,1_1_1_0,1
0f0xQyAE62fgX01L.mp3,0,0,1,1,0_0_1_1,3
0hwxk3k4q1kSVqa3.mp3,0,0,0,1,0_0_0_1,4
0kL4vCuYHkQBirg1.mp3,1,1,1,0,1_1_1_0,1
0mjkJ0wb1KHAXtmj.mp3,1,1,1,0,1_1_1_0,1
0qMvJ8HqbQcf27Np.mp3,0,1,1,0,0_1_1_0,5
10eLXBwl9LUgGbKU.mp3,1,1,1,0,1_1_1_0,1
14OKSz9G1hj416d7.mp3,0,0,2,1,0_0_2_1,6
17adRoxfcX4yWJbW.mp3,1,1,1,0,1_1_1_0,1
1FlqCWlOLqMfibbg.mp3,1,1,1,0,1_1_1_0,1
1HrVkv3hws1PkncW.mp3,0,1,0,0,0_1_0_0,7
1RO3cUR9q0z2yyqV.mp3,1,1,1,0,1_1_1_0,1
1SWs1ngkM7XXhWfL.mp3,1,1,2,0,1_1_2_0,8
1TTaCU6DaHQ0nE3m.mp3,1,1,1,0,1_1_1_0,1
1WmILK0emIsdTSl2.mp3,1,1,1,0,1_1_1_0,1
1hCZvfvDWeLVHJMD.mp3,0,1,2,1,0_1_2_1,9
1l1PrCCMTmaaYAWx.mp3,0,0,2,1,0_0_2_1,6
1nUpyNdCl3vnd5HN.mp3,1,1,1,0,1_1_1_0,1
1vueAAUXDf4t06r1.mp3,1,1,1,0,1_1_1_0,1
26XsWt63506UcPSm.mp3,0,0,1,1,0_0_1_1,3
29AWfl38cq5HfWkn.mp3,0,1,2,0,0_1_2_0,-1
2BJOFm5tcQmOgVDe.mp3,1,1,1,0,1_1_1_0,1
2BnVEtMAcPugK4dK.mp3,0,0,1,1,0_0_1_1,3
2CJjDffMUUQVdYMt.mp3,1,1,1,0,1_1_1_0,1
2HEAB7E9psFkmzmZ.mp3,1,1,1,0,1_1_1_0,1
2KdX90lYMrvoggaK.mp3,1,1,1,1,1_1_1_1,2
2TbV5dQdXWZBnD2p.mp3,1,1,1,0,1_1_1_0,1
2UD2b5uapJ9QZlyk.mp3,0,1,1,1,0_1_1_1,10
2Ze9xSrLDzQaTniW.mp3,1,1,1,0,1_1_1_0,1
2aOhdVx68SxNIle4.mp3,1,0,1,0,1_0_1_0,11
2aiKewjz7zVzeoLK.mp3,1,0,0,1,1_0_0_1,12
2cF7HdTqbIb5bw4S.mp3,1,1,1,0,1_1_1_0,1
2ffujQZWCuvCB65C.mp3,1,1,0,0,1_1_0_0,13
2gLZ65Gz8ebz70nB.mp3,0,0,0,1,0_0_0_1,4
2rQUO4jU0myfggFP.mp3,1,1,1,0,1_1_1_0,1
2u4wTkhAmCT4sPXr.mp3,0,0,0,1,0_0_0_1,4
2x1UX3xp9XozTaD9.mp3,1,0,1,0,1_0_1_0,11
2y5QnKY1pymHn4Uo.mp3,1,0,1,1,1_0_1_1,14
34r5RdUQZWPGPQgV.mp3,1,0,1,1,1_0_1_1,14
35GjXTcfSXrLaUjS.mp3,1,1,1,0,1_1_1_0,1
362V6xjGKI9bJZlu.mp3,1,1,1,0,1_1_1_0,1
3CkmKQCPN1ixoX1n.mp3,1,0,1,0,1_0_1_0,11
3GmF4xlKg9iAOPNw.mp3,1,1,1,0,1_1_1_0,1
3KPQc3gGT1Lpw9ki.mp3,1,1,1,0,1_1_1_0,1
3NTBa9ux1k0TftAV.mp3,0,1,1,1,0_1_1_1,10
3QAgiowCE58lkfhU.mp3,1,1,1,0,1_1_1_0,1
3VLLVMBHCX2dUn3X.mp3,1,0,0,0,1_0_0_0,15
3XI3KppPMcvPClP2.mp3,0,0,1,1,0_0_1_1,3
3ZmZ2FZ2Z86OTajT.mp3,1,1,1,0,1_1_1_0,1
3aX8prWX4CoCIScd.mp3,1,0,2,1,1_0_2_1,16
3eBMjIRtPkO5RON2.mp3,1,1,1,0,1_1_1_0,1
3eQxQBnmywpil0zc.mp3,1,1,1,0,1_1_1_0,1
3fpXPpgn2Xxy4M7B.mp3,1,1,1,0,1_1_1_0,1
3nV3brjy4fruS2jx.mp3,0,0,1,0,0_0_1_0,17
412Um4A5jY7JETj4.mp3,0,1,1,0,0_1_1_0,5
42Z44IeAaxsS0s60.mp3,1,1,1,0,1_1_1_0,1
42wLAWKm5n0kBXof.mp3,1,0,1,0,1_0_1_0,11
4Bbs0VMR0ad0ODnz.mp3,1,1,1,0,1_1_1_0,1
4EiHK7g70V7UAt7b.mp3,1,1,1,0,1_1_1_0,1
4XojqBVbQXAd0vDu.mp3,0,0,0,1,0_0_0_1,4
4YVZRPCrGMcF0yl5.mp3,1,0,2,0,1_0_2_0,18
4bhFZ4pgYDKtCXks.mp3,1,1,1,1,1_1_1_1,2
4qyaxnK716PkNaXN.mp3,1,1,1,0,1_1_1_0,1
4u0tDw0viSKUsids.mp3,0,0,1,0,0_0_1_0,17
4uZXpOgN454dvo7Z.mp3,1,1,0,1,1_1_0_1,19
4yztKgC2uHMXqjLt.mp3,1,1,1,1,1_1_1_1,2
4zQkdnMEWNDzXjWq.mp3,1,1,1,0,1_1_1_0,1
52GzWXXOA2GSXxE3.mp3,1,1,1,0,1_1_1_0,1
53vhMCgarjxxn6a8.mp3,1,1,0,0,1_1_0_0,13
54AzrZMNQhSmuFoV.mp3,1,1,1,0,1_1_1_0,1
54YjEMqKlxDH6DYK.mp3,1,0,1,0,1_0_1_0,11
58OpfqBn9yS4blGj.mp3,1,1,1,0,1_1_1_0,1
5BgsLUbLAgQyXnSe.mp3,0,1,0,1,0_1_0_1,0
5BxbUFcprK9n60vf.mp3,0,0,1,1,0_0_1_1,3
5D1P2KIb2r1oeOrc.mp3,1,1,1,0,1_1_1_0,1
5IDXDMSEDT1u66l7.mp3,0,0,1,0,0_0_1_0,17
5IuzdGVDQqvruv1f.mp3,0,1,2,1,0_1_2_1,9
5JJQMbgJKJT7YhXZ.mp3,1,1,1,0,1_1_1_0,1
5NuL6xydB5m0WwEh.mp3,1,1,1,0,1_1_1_0,1
5UY7MfH8BuXB9J2z.mp3,0,0,1,1,0_0_1_1,3
5W13QNAZJnxDebV3.mp3,1,0,0,0,1_0_0_0,15
5YupnwVT1bhwOqLm.mp3,1,0,1,0,1_0_1_0,11
5am7nO8pyuacRCwp.mp3,1,1,1,0,1_1_1_0,1
5f3Y38Z0GoAH8A3M.mp3,0,1,1,1,0_1_1_1,10
5gMjEcghipaC9j64.mp3,1,1,1,0,1_1_1_0,1
5q3Y1JXEiaCFQzk5.mp3,1,1,2,0,1_1_2_0,8
60DDr8F1k16govjz.mp3,1,1,1,0,1_1_1_0,1
615HKX8TyFSI6j93.mp3,1,0,1,1,1_0_1_1,14
61akykdDh0XvmX6T.mp3,0,0,2,1,0_0_2_1,6
62evAAbKtu2kNQ7i.mp3,0,1,1,1,0_1_1_1,10
63oY3VPx71l9pR1g.mp3,1,1,1,0,1_1_1_0,1
65eKmLPrSC60aOq4.mp3,1,1,1,0,1_1_1_0,1
69fGLLoqtazT9wrU.mp3,0,0,0,1,0_0_0_1,4
6DYDb24RkWIvV0jp.mp3,1,1,1,0,1_1_1_0,1
6EQhUSaBaF6PRwLr.mp3,1,1,1,0,1_1_1_0,1
6FGfDLYI1rdj0io7.mp3,1,1,1,0,1_1_1_0,1
6LWUBtxjhhYvJvkq.mp3,1,1,1,0,1_1_1_0,1
6VjEPMIGq04XQlyW.mp3,1,1,1,0,1_1_1_0,1
6bPnfhj28uBPIWZA.mp3,0,0,1,0,0_0_1_0,17
6emeW9golzrfgaQp.mp3,0,0,0,1,0_0_0_1,4
6lrzelDF2jNqkHGP.mp3,1,1,1,0,1_1_1_0,1
6pL5srXCZjgIw5OF.mp3,1,1,1,0,1_1_1_0,1
6q72beEtWF7Ax0Cy.mp3,1,1,1,0,1_1_1_0,1
6qPszvL6DcoxzRVb.mp3,1,1,0,0,1_1_0_0,13
73yBPagdpo3gkfd4.mp3,1,0,2,1,1_0_2_1,16
75ql0bntP3cWLwWT.mp3,0,1,1,0,0_1_1_0,5
792ccUfrUomraNGD.mp3,0,1,0,0,0_1_0_0,7
7BfJv6pxBP98wZmG.mp3,1,1,1,0,1_1_1_0,1
7C7XFba5tbTs9ejW.mp3,1,1,1,0,1_1_1_0,1
7NNv9H4PF1nMdNI0.mp3,0,0,0,0,0_0_0_0,-1
7NvSI3x4qT7CxS89.mp3,1,1,1,0,1_1_1_0,1
7TEo2YLJk9sRZRXs.mp3,0,0,2,1,0_0_2_1,6
7ZWYHGyYOGTOW56R.mp3,1,1,1,0,1_1_1_0,1
7bY63fk9BYDS04Om.mp3,1,1,1,0,1_1_1_0,1
7cex2AfdWVvrtiJY.mp3,1,0,1,0,1_0_1_0,11
7jzQHHTZtyXnvREb.mp3,1,1,1,1,1_1_1_1,2
7mSeKPkE1lm8xq6E.mp3,1,1,0,0,1_1_0_0,13
7mvipS5HXQ2sHXiz.mp3,1,1,2,1,1_1_2_1,-1
7pbQQKW45KsYhoPI.mp3,1,1,1,0,1_1_1_0,1
7rYGu55TvcwEN9Qv.mp3,1,1,1,0,1_1_1_0,1
7swZjmvUf43w4b4Z.mp3,1,1,1,0,1_1_1_0,1
83BTed1ljgmzAZcP.mp3,0,0,1,1,0_0_1_1,3
89DSRAybcd5czKpW.mp3,1,1,1,0,1_1_1_0,1
89iKrT92QCtupq8m.mp3,1,0,1,0,1_0_1_0,11
8Diit5ECreeVHmSr.mp3,0,0,0,1,0_0_0_1,4
8Ejxsja2CJZdPmpl.mp3,1,1,1,0,1_1_1_0,1
8GzlVkRojEB6Hj7x.mp3,1,1,1,0,1_1_1_0,1
8JUMp8W9BGm7qjLn.mp3,1,1,2,0,1_1_2_0,8
8LFamMCXrki7C3Qt.mp3,1,1,1,0,1_1_1_0,1
8LHClMnjt1RY5bZH.mp3,1,1,0,0,1_1_0_0,13
8MTQwzOMjswovVLT.mp3,1,1,1,0,1_1_1_0,1
8Ph59LnVCtNtfYGQ.mp3,1,1,1,0,1_1_1_0,1
8TwD8UmmNdQf1DMk.mp3,1,1,1,0,1_1_1_0,1
8VCKqw209gZCFTfB.mp3,1,0,1,0,1_0_1_0,11
8VNONiezek4gzvqq.mp3,1,1,1,0,1_1_1_0,1
8aNejfxVqSHYFbM1.mp3,1,1,1,0,1_1_1_0,1
8cY5YVAla8W42yDI.mp3,1,1,1,1,1_1_1_1,2
8m4nCdWUduLE7C3n.mp3,1,0,1,1,1_0_1_1,14
8nFH1Ovavxv1879r.mp3,1,1,1,0,1_1_1_0,1
8nuvJOjzOYlr9i82.mp3,1,1,0,0,1_1_0_0,13
8oxyFL2duwAPYZNe.mp3,0,1,0,0,0_1_0_0,7
8pB16JkPJfG9MgYD.mp3,1,0,2,0,1_0_2_0,18
8pFjtwYis23TnXib.mp3,1,1,1,0,1_1_1_0,1
8s9kikygQfgtcipd.mp3,1,0,1,1,1_0_1_1,14
8uaxnszIiVD2WJUz.mp3,0,0,1,1,0_0_1_1,3
8x8WlfWFEj8vIufM.mp3,0,1,0,1,0_1_0_1,0
93bhhL7VMM46J11p.mp3,0,0,2,1,0_0_2_1,6
98EuySJaXZV5QuaF.mp3,0,0,1,1,0_0_1_1,3
9DjfNUsqWeoBV9Nq.mp3,0,0,0,1,0_0_0_1,4
9IEEUErlb5Ib59Ki.mp3,0,1,1,1,0_1_1_1,10
9JAP4GWde9RZrpx4.mp3,0,0,1,1,0_0_1_1,3
9JKb4Wf58IBoEMQU.mp3,1,1,1,0,1_1_1_0,1
9MF7y82fv0HAX4PM.mp3,1,0,1,0,1_0_1_0,11
9UZz344xcONIIggB.mp3,0,0,0,1,0_0_0_1,4
9feQNRon0z7fL7CH.mp3,1,1,1,0,1_1_1_0,1
9gMC8bWdWmJ8Iayf.mp3,1,1,1,0,1_1_1_0,1
9gbf335fvkVIcQCj.mp3,1,1,1,0,1_1_1_0,1
9kCrfsVKwtL531ZM.mp3,0,0,1,1,0_0_1_1,3
9pfiwQDyUEW5Tfdf.mp3,0,1,1,0,0_1_1_0,5
9y1IzIZnKVTX7WiC.mp3,1,1,1,0,1_1_1_0,1
9zw5hAJ5bbsk2YGA.mp3,1,1,1,0,1_1_1_0,1
A1GOXoGAmD82mYYt.mp3,1,1,1,0,1_1_1_0,1
A6UmXegGlN0DPnFr.mp3,1,1,1,0,1_1_1_0,1
A8SqfKFiFMBVJvgA.mp3,1,1,2,0,1_1_2_0,8
AF6wQK4uEuJlWlLe.mp3,1,1,1,0,1_1_1_0,1
AHRqE34MoN0cck6Z.mp3,0,0,1,1,0_0_1_1,3
AHzRN2Evfae8sUtR.mp3,1,1,0,0,1_1_0_0,13
AKE0acTdRRrDohU9.mp3,1,1,1,0,1_1_1_0,1
AN8njhQyeRgTxXCE.mp3,1,1,1,0,1_1_1_0,1
AQa8yUGoD2B5KRwI.mp3,1,1,1,0,1_1_1_0,1
AWGGSyyiq2aprR2z.mp3,1,1,1,0,1_1_1_0,1
AcpxTDj51TwzRWcQ.mp3,0,0,0,1,0_0_0_1,4
AdkxyMQhEwcFpShM.mp3,1,1,1,0,1_1_1_0,1
AfAl86XpalnhGS7R.mp3,0,1,2,1,0_1_2_1,9
AioZkywLrh7fOy0K.mp3,1,1,2,0,1_1_2_0,8
