id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
01gyRHLquwXDlhkO.mp3,1,0,1,0,1_0_1_0,0
07wMWSylLpoThQWD.mp3,0,1,1,1,0_1_1_1,1
08cN8oXwIYoUACWP.mp3,0,1,3,1,0_1_3_1,2
0CR53RjbkjqkCHe4.mp3,1,1,1,0,1_1_1_0,3
0FUVOmkmLDVyLs4U.mp3,1,0,5,1,1_0_5_1,4
0MoamEqbnVbXrm5u.mp3,0,0,5,1,0_0_5_1,5
0TanEa2QCnKAedsL.mp3,1,0,5,1,1_0_5_1,4
0W4GdsLplFROEOhb.mp3,1,1,1,0,1_1_1_0,3
0aLI2lnnzTpErYaq.mp3,0,0,5,1,0_0_5_1,5
0j7h536YiAeEs6Ie.mp3,1,1,5,1,1_1_5_1,6
0rYt4Pks3wZM7axD.mp3,1,1,2,0,1_1_2_0,7
11vLXtujW5gKibl7.mp3,1,1,1,1,1_1_1_1,8
13Lxfyct16V0j6C1.mp3,1,1,5,0,1_1_5_0,9
13jCKVOOD05n4f9M.mp3,1,1,1,0,1_1_1_0,3
16gJrvBuQcL74X7L.mp3,1,1,1,0,1_1_1_0,3
1BLzOSJbooOR7oN9.mp3,0,1,5,1,0_1_5_1,10
1Cy7h5OnRGIi2wQ6.mp3,0,0,7,1,0_0_7_1,11
1GZEjBAU5XDIGZ3q.mp3,1,1,1,0,1_1_1_0,3
1LGalu1WtlC0w9ez.mp3,1,0,7,0,1_0_7_0,12
1TT7Nsm57FsuTu5W.mp3,0,1,6,1,0_1_6_1,13
1TyXGrSJgtrKPlJb.mp3,1,0,2,1,1_0_2_1,14
1fx9bFZFLU7L3vb7.mp3,1,0,1,1,1_0_1_1,15
1iDanFtkc2bycmTT.mp3,0,0,6,0,0_0_6_0,16
1wfIkdvGunMCtin2.mp3,1,1,1,1,1_1_1_1,8
1xuLwX9MYAAZhB5G.mp3,0,0,2,1,0_0_2_1,17
1xw2y8CV5IZuBSiH.mp3,1,1,7,0,1_1_7_0,18
1yEaZkyIy7n93RMA.mp3,1,1,5,0,1_1_5_0,9
29lsz0MKefKborEm.mp3,1,1,1,0,1_1_1_0,3
2E9Bx72iuNFaCLIq.mp3,0,0,3,1,0_0_3_1,19
