id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
0AJzNGBCKi2IphZ8.mp3,1,0,2,0,1_0_2_0,0
0At7AvzV5kHCJvIj.mp3,0,0,1,1,0_0_1_1,1
0MMDu3QYnVUgnX2L.mp3,0,0,1,1,0_0_1_1,1
0NYOybOH3K7w2I38.mp3,0,1,1,0,0_1_1_0,2
0OEYaBcpIlnxBfiA.mp3,0,0,2,1,0_0_2_1,3
0OGJEgk99UbQXobz.mp3,1,1,1,0,1_1_1_0,4
0OtJDOaErH7yTmWJ.mp3,0,1,1,1,0_1_1_1,5
0dOKpvL82xFoDkuj.mp3,0,1,1,0,0_1_1_0,2
0fM6TcjNqmdQu0zZ.mp3,0,0,1,1,0_0_1_1,1
0hfTaonRSy4Ji6Fx.mp3,0,0,1,1,0_0_1_1,1
0js0MOhRNVHtvW7f.mp3,0,0,1,1,0_0_1_1,1
0pOn4YYVDVTg2A69.mp3,0,0,1,1,0_0_1_1,1
0qGincsD7bukbKRz.mp3,0,1,1,1,0_1_1_1,5
0swQABJww95sHo85.mp3,1,1,1,0,1_1_1_0,4
0tzYEg8KodbJHl8p.mp3,0,1,2,0,0_1_2_0,6
10uLpQmkfjUNIR2P.mp3,0,1,1,1,0_1_1_1,5
17k1RrB2EpNtDDsg.mp3,0,0,1,1,0_0_1_1,1
1BApQ3WM9Kq6YTzu.mp3,0,0,1,0,0_0_1_0,7
1WJ5uoVj9U3kZsz9.mp3,0,0,1,1,0_0_1_1,1
1YpZWYlnuOND5RSo.mp3,0,0,1,1,0_0_1_1,1
1f2gDqQBRaXH1CGz.mp3,1,0,1,0,1_0_1_0,8
1fatojg4wiGp89io.mp3,0,0,1,1,0_0_1_1,1
1iq00023bxdyO3h8.mp3,0,0,1,1,0_0_1_1,1
1wLyyu97sE2qxHdr.mp3,0,0,2,0,0_0_2_0,9
228ZbxcKIj7uE1ol.mp3,0,1,1,0,0_1_1_0,2
23yuRcbGK0IcWN5y.mp3,1,1,0,0,1_1_0_0,10
26Kj6Gqi4k09JjNn.mp3,0,0,1,1,0_0_1_1,1
2FOgfkFr3NFtgGNX.mp3,1,1,1,0,1_1_1_0,4
2OinbnB1uk7dChpX.mp3,1,1,1,0,1_1_1_0,4
2PJ46eLYkpOvQSl5.mp3,0,0,1,1,0_0_1_1,1
2Rv3k8EDt2qaeyQ6.mp3,0,0,1,1,0_0_1_1,1
2SMMgMwakRQrJ6fm.mp3,1,1,2,0,1_1_2_0,11
2Spf61kL0sRWv7vt.mp3,0,0,2,1,0_0_2_1,3
2TI0HXx7Y2yIJBMj.mp3,1,0,1,0,1_0_1_0,8
2XE25xNPvSdQc1KM.mp3,0,0,1,1,0_0_1_1,1
2Xdf7hbgYtckzeS7.mp3,0,1,1,1,0_1_1_1,5
2XrQaQxjPjUa9K77.mp3,1,1,1,0,1_1_1_0,4
2gEq8ocry6T8fyFv.mp3,0,0,1,1,0_0_1_1,1
2iTNj8IfvQ8BTatH.mp3,0,0,1,1,0_0_1_1,1
