id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
02io0Qj0jV8AFKAF.mp3,1,1,0,1,1_1_0_1,0
09zRPbUiTrBZJoi2.mp3,1,1,0,1,1_1_0_1,0
0Gj4pqFby71rvq08.mp3,1,0,1,1,1_0_1_1,1
0JtMllx4BGVKFLku.mp3,0,1,0,0,0_1_0_0,2
0ShtmfqyvW1hKjw7.mp3,0,1,0,1,0_1_0_1,3
0aTr8HKBZUuxwexW.mp3,1,0,0,1,1_0_0_1,4
0cQdObcXUyY1tLkj.mp3,0,0,1,0,0_0_1_0,5
0diSaWOZL45lxPZC.mp3,1,1,0,1,1_1_0_1,0
0hi5FGoizAXxin1K.mp3,1,0,1,1,1_0_1_1,1
0jP2q4c51hZRm8eK.mp3,0,0,1,0,0_0_1_0,5
0jkSMHuh3vlWT3os.mp3,0,0,0,0,0_0_0_0,6
0tPlvWF1RO08o2P0.mp3,0,1,1,1,0_1_1_1,7
0xIicRjRs4fwP6iP.mp3,0,0,0,0,0_0_0_0,6
13AYHy6cyhUIcPmC.mp3,0,0,0,0,0_0_0_0,6
13B0TjFKTPI6AMGI.mp3,0,0,0,1,0_0_0_1,8
14aU4oKeYHFMyNnk.mp3,0,0,0,0,0_0_0_0,6
18vv9maSyDLb16H9.mp3,0,0,0,1,0_0_0_1,8
19OiVL1Z3bWapeTg.mp3,1,0,0,0,1_0_0_0,9
1DVZvc7QmcB6mmMG.mp3,0,1,0,0,0_1_0_0,2
1GzLOjunlSMMpHTQ.mp3,1,1,0,1,1_1_0_1,0
1Pfvty4majWz07HO.mp3,1,0,1,0,1_0_1_0,10
1ZDeLHmbKM5AZCQR.mp3,1,1,0,1,1_1_0_1,0
1bxQYkB7yTMnMfLV.mp3,1,0,0,1,1_0_0_1,4
1dPwPPQb4cxfiUZp.mp3,1,0,1,1,1_0_1_1,1
1h1qGhIthM0kluFU.mp3,1,1,0,1,1_1_0_1,0
1ltAp8lN1prwUs6s.mp3,0,0,0,0,0_0_0_0,6
1n3apSaoCwmQ5aEt.mp3,0,0,0,0,0_0_0_0,6
1s99t9M0gGzbcgm0.mp3,0,1,0,0,0_1_0_0,2
1sC1rY2igG2wchYz.mp3,1,1,0,1,1_1_0_1,0
1uMJ0GyPzLFnp4ki.mp3,0,1,0,0,0_1_0_0,2
22JDgutxkjEvsRIv.mp3,0,1,0,0,0_1_0_0,2
23sYNJRnrWJupZOj.mp3,1,1,0,1,1_1_0_1,0
2IOWPybcxMMYTWYl.mp3,0,1,0,0,0_1_0_0,2
2IZZqaSF59v2Cpu1.mp3,0,0,0,0,0_0_0_0,6
2K1SfANKQR6RJHNN.mp3,1,0,1,0,1_0_1_0,10
2OG7fqjV1NOdRpeP.mp3,0,1,1,0,0_1_1_0,11
2Pw2YaoPJkuYR6kZ.mp3,1,1,0,1,1_1_0_1,0
2TCC3g6wYTXsdfql.mp3,0,0,0,0,0_0_0_0,6
2TJS3a7dU5ohrwMl.mp3,1,1,0,1,1_1_0_1,0
2TwyzwjTVtRbimtz.mp3,1,1,0,0,1_1_0_0,12
2cUzl7OewyyHIDlO.mp3,0,0,0,1,0_0_0_1,8
2dF3TnUihcsYJWy5.mp3,0,0,0,0,0_0_0_0,6
2ffuFgi5DXDSSGRD.mp3,0,0,0,0,0_0_0_0,6
2hUNruuxnKGrUtAP.mp3,1,0,1,1,1_0_1_1,1
2pfMUbYjXMMH4Xg0.mp3,0,0,0,0,0_0_0_0,6
2sQMHa1qHq6yTlUm.mp3,0,1,0,1,0_1_0_1,3
2yq6NJuecRaHpyU9.mp3,1,1,1,1,1_1_1_1,13
36CuI2BqccsbuKTd.mp3,1,0,0,1,1_0_0_1,4
3CBiim1GHezC7xMq.mp3,1,1,1,1,1_1_1_1,13
3CWWBrtacOXnTjB9.mp3,0,0,0,0,0_0_0_0,6
3JKd3B55HUasdT4h.mp3,0,0,0,0,0_0_0_0,6
3NdJpZysfRyZHepB.mp3,1,0,0,1,1_0_0_1,4
3PecKgc5evvXANts.mp3,1,1,0,1,1_1_0_1,0
3QnpjtdMMAjoMtBF.mp3,1,1,1,1,1_1_1_1,13
3X4ZCC18KHVAgKYU.mp3,1,1,0,1,1_1_0_1,0
3nlGN0L59F6zosyB.mp3,1,1,0,1,1_1_0_1,0
3nnhfUjRmdY9HwKt.mp3,0,0,1,1,0_0_1_1,14
3uOUIL1idGSzYJ7n.mp3,0,0,0,0,0_0_0_0,6
3uUJdKWPUTH6anjU.mp3,0,0,0,0,0_0_0_0,6
3xt2YmhPZfFi5a67.mp3,0,0,0,0,0_0_0_0,6
3ywIVnFvUyqSUyYg.mp3,0,0,0,0,0_0_0_0,6
454ig2ufBn55PgIv.mp3,0,0,0,0,0_0_0_0,6
47Wi3WzTukTFCsXe.mp3,1,0,0,0,1_0_0_0,9
49dkOvFVqM7lzPtc.mp3,0,0,0,0,0_0_0_0,6
4CAJxMqR2YEgRDud.mp3,1,1,1,1,1_1_1_1,13
4CR3IKpVVJDrWZ5n.mp3,0,1,0,0,0_1_0_0,2
4HTa2pVaWHBiLdU1.mp3,0,0,0,1,0_0_0_1,8
4Ktg0oEpvRsrNYRM.mp3,0,1,0,1,0_1_0_1,3
4Kyw75YUAXgtKHgV.mp3,1,0,0,0,1_0_0_0,9
4PmIfkNyc5DQuJXa.mp3,1,1,0,1,1_1_0_1,0
4R2KjucLOV7kdbDw.mp3,0,0,1,0,0_0_1_0,5
4RKGJI4gu9KRsoNL.mp3,0,0,0,0,0_0_0_0,6
4XYtnbF7idPnKr9n.mp3,1,1,0,1,1_1_0_1,0
4ZeG20f847LVWn00.mp3,0,0,0,0,0_0_0_0,6
4d8BVLDCU0EbfwY4.mp3,0,0,0,0,0_0_0_0,6
4fNOkOQVsp2lkBen.mp3,1,0,1,0,1_0_1_0,10
4hcTaWS2ENotitxM.mp3,0,0,1,0,0_0_1_0,5
4kIWaMN0cxg46CQ8.mp3,0,0,0,0,0_0_0_0,6
4mJAMmz6IODnXhWv.mp3,1,1,0,1,1_1_0_1,0
4z2KKrekq4ihi6Jt.mp3,0,0,0,0,0_0_0_0,6
50znAjnlp7SvIttR.mp3,1,1,0,1,1_1_0_1,0
57smtw3MnhkzxhvA.mp3,1,1,0,1,1_1_0_1,0
597hTePyNRvclm7x.mp3,1,1,1,0,1_1_1_0,15
59IQw8qQLHhdnVmD.mp3,1,1,0,1,1_1_0_1,0
5AQGePDtJ6Gy9Uu3.mp3,0,1,0,0,0_1_0_0,2
5DSfoG4QyhaKEzYb.mp3,1,0,0,1,1_0_0_1,4
5E7KSO1JoYrl1Z2z.mp3,1,1,1,1,1_1_1_1,13
5KWCX1af46BNnneo.mp3,0,0,0,0,0_0_0_0,6
5KX35pIrOBfquEaW.mp3,0,0,0,0,0_0_0_0,6
5LblDvPTzCKqsKMb.mp3,0,0,0,0,0_0_0_0,6
5MFYmEucqWZqwMmB.mp3,0,1,0,1,0_1_0_1,3
5Oog3Kt1628O0oi8.mp3,1,0,0,1,1_0_0_1,4
5Vz7F3olmjdumvrJ.mp3,1,1,0,1,1_1_0_1,0
