id	genres	lang	danceability	energy	key	mode	valence	tempo	duration_ms	primary_genre
3vdRaLImjV3HTUAc	CHILLWAVE,ELECTRONIC,LO-FI,CHILLWAVE,ELECTRONIC	EN	0.445	0.929	11.0	1.0	0.598	109.877	162649	ELECTRONIC
mKPg3PBBybhg5u7d	ELECTRONIC,DOWNTEMPO,ELECTRONIC,AMBIENT	EN	0.763	0.387	2.0	0.0	0.387	92.995	396067	ELECTRONIC
urjoQebAwm2BzLqz	EBM,ELECTRONIC	EN	0.6659999999999999	0.875	1.0	1.0	0.6759999999999999	116.995	234640	ELECTRONIC
EaqvIckagr9dMSmp	SOUL,ELECTRONIC,SOUL,UK GARAGE	EN	0.621	0.199	10.0	1.0	0.178	128.905	218160	ELECTRONIC
MSsYk5lc8ssIVNV2	ELECTRONIC,HOUSE	EN	0.63	0.593	7.0	1.0	0.5379999999999999	127.001	374805	ELECTRONIC
4Du2pRRQRaOyKBTG	HOUSE,ELECTRONICA	EN	0.732	0.691	7.0	0.0	0.464	95.028	245666	ELECTRONIC
aNYQ7ySXzax4NlKK	HOUSE,ELECTRONIC	EN	0.627	0.954	2.0	1.0	0.312	128.016	223112	ELECTRONIC
kw2VcChXKQAyoSO4	ELECTROCLASH,ELECTRONIC,ELECTRO,ELECTRONICA	EN	0.6	0.934	10.0	1.0	0.545	113.571	255547	ELECTRONIC
m2fpeXBlh4miGIwt	HOUSE,ELECTRONIC,ELECTRO	EN	0.5720000000000001	0.8959999999999999	5.0	1.0	0.319	124.989	176120	ELECTRONIC
vdoUvpdwJ3Mwf3gF	DOWNTEMPO,LOUNGE,ELECTRONIC	EN	0.746	0.855	1.0	0.0	0.5820000000000001	125.954	328266	ELECTRONIC
8O0HmuRPf84qIQkK	TRANCE,ELECTRONIC,VOCAL TRANCE	EN	0.565	0.942	8.0	1.0	0.569	137.972	235000	ELECTRONIC
NzoxAA1UvVEzkkGG	HOUSE,ELECTRONIC	EN	0.727	0.889	8.0	0.0	0.6559999999999999	127.011	401360	ELECTRONIC
gXAfymoiFFsCqSEd	ELECTRONIC,ELECTRO	EN	0.645	0.89	2.0	1.0	0.605	168.989	195960	ELECTRONIC
8Ke3EjTVACp68tdx	ELECTRONIC	EN	0.5	0.77	2.0	1.0	0.498	94.999	293413	ELECTRONIC
MOq8pYAvTziNoPdv	ELECTRONIC,ELECTRONICA	EN	0.872	0.627	9.0	0.0	0.8140000000000001	100.012	206093	ELECTRONIC
IDg8J7XvKETXatIn	HOUSE,ELECTRONIC	EN	0.836	0.684	5.0	0.0	0.369	128.015	178473	ELECTRONIC
jMuNdVA9QidYEIgy	HOUSE,DISCO,ELECTRONICA	EN	0.606	0.847	10.0	1.0	0.483	126.257	169427	ELECTRONIC
YsJAv2aXzu3UJbne	ELECTRONIC,WONKY	EN	0.387	0.447	4.0	0.0	0.657	84.206	205120	ELECTRONIC
ub4Q0TcCt2ktwGmf	TRANCE,AMBIENT,ELECTRONIC,PROGRESSIVE HOUSE	EN	0.736	0.759	9.0	1.0	0.485	128.039	170067	ELECTRONIC
oNHpJCsGPDzKWYQB	ELECTRONIC,EMO RAP,EMO,EMOCORE	EN	0.77	0.377	1.0	1.0	0.0773	149.921	204288	ELECTRONIC
pk9laqqFqW10uGle	SOUL,ELECTRONIC	EN	0.851	0.787	11.0	0.0	0.85	115.995	169326	ELECTRONIC
VhOUrYHbmHdtyXdE	INDUSTRIAL,POWER ELECTRONICS,NOISE,PUNK,ELECTRO-INDUSTRIAL	EN	0.534	0.8340000000000001	7.0	1.0	0.314	162.512	230006	ELECTRONIC
i1T1UriUrPYa5TsQ	ELECTRONIC,BIG BEAT,TECHNO,BREAKBEAT,ELECTRONICA	EN	0.67	0.892	11.0	1.0	0.6990000000000001	125.012	445000	ELECTRONIC
qCqFsZC6fBPEj0aZ	ELECTRONIC	EN	0.784	0.718	10.0	0.0	0.472	109.994	176707	ELECTRONIC
