id,cluster_id_Energy_and_Dynamics,cluster_id_Harmony,cluster_id_Rhythm,cluster_id_Timbre,cluster_fingerprint,DBSCAN_Cluster
08QtcDK0rtDFogFP.mp3,1,1,1,1,1_1_1_1,0
0BNlUFeemdBKefcG.mp3,1,1,7,1,1_1_7_1,1
0CkwHBY8u5XCeSjK.mp3,0,0,2,0,0_0_2_0,2
0GIVzSxKobe3OuKt.mp3,0,0,9,0,0_0_9_0,3
0JxOPeLv6rBhDdLJ.mp3,0,0,3,0,0_0_3_0,4
0OQwtp7Nf2vcmIoZ.mp3,1,0,9,1,1_0_9_1,5
0SBWcbhr2m1u0rEx.mp3,1,0,4,1,1_0_4_1,6
0Sqt1P89zBpkKSNc.mp3,1,0,6,1,1_0_6_1,7
0U5lbGWx8kJ0el7g.mp3,1,1,4,1,1_1_4_1,8
0UFnNm1HfwHMljgN.mp3,1,1,0,1,1_1_0_1,9
0c2b9r9kEYreTW3y.mp3,0,0,3,0,0_0_3_0,4
0cTPCJRAeZP3PIdl.mp3,1,1,6,1,1_1_6_1,10
0ea5Bpmf3b40M50R.mp3,1,1,2,1,1_1_2_1,11
0mK9IsrCcBkgwLun.mp3,1,1,2,1,1_1_2_1,11
0o5jvQWVuFrPhA4K.mp3,1,0,9,0,1_0_9_0,12
0tvxEidSgIMsZo0V.mp3,1,1,0,1,1_1_0_1,9
0wcTiyCQ2Urvlmic.mp3,1,1,2,1,1_1_2_1,11
12OPaZ5O3qlPLbh0.mp3,0,0,2,0,0_0_2_0,2
12dt1sEhPPalH4lq.mp3,1,0,0,0,1_0_0_0,-1
130H2LXLrCujgJBE.mp3,1,0,4,1,1_0_4_1,6
1DCWtaOAX4Z9DBrF.mp3,1,1,2,1,1_1_2_1,11
1JFUlOuqFIF58kCc.mp3,0,0,9,0,0_0_9_0,3
1NVjGZV6nHuWO7tP.mp3,2,1,0,1,2_1_0_1,-1
1NYAIIyQEcLtK10c.mp3,1,1,6,1,1_1_6_1,10
1NkXyJoFSqqdEUIJ.mp3,1,1,4,0,1_1_4_0,13
1QQlmxo1sN75uIaW.mp3,0,0,3,0,0_0_3_0,4
1Yz6SFJjLv0TatYq.mp3,1,0,9,1,1_0_9_1,5
1b7L5n3xhCn2bLWX.mp3,0,0,1,0,0_0_1_0,14
1gaJqlNph9e9RT4c.mp3,1,1,7,1,1_1_7_1,1
1i0b2NdbSugNQ61Q.mp3,0,0,5,0,0_0_5_0,15
1uuJTwIZiHWjz5as.mp3,1,1,2,1,1_1_2_1,11
1wCHJrpVFFoxYRz9.mp3,1,0,4,0,1_0_4_0,16
20SqhPoFL90Er4cU.mp3,0,1,4,0,0_1_4_0,17
24pVRAg6rZIdyaLP.mp3,1,1,1,1,1_1_1_1,0
28ZfxWAG6D12aIBA.mp3,1,1,9,1,1_1_9_1,18
2ACCFtROBap3SEZb.mp3,1,1,7,1,1_1_7_1,1
2AgonJWlmYAGKZk5.mp3,0,0,3,1,0_0_3_1,-1
2BCD3NmTUkXqdXjr.mp3,1,1,7,1,1_1_7_1,1
2DDfhiXT6WhGW0vv.mp3,1,0,6,0,1_0_6_0,19
2DHjfjlp8jUKlEKy.mp3,0,1,4,0,0_1_4_0,17
2MrFuWEi2SjRXR35.mp3,0,0,1,0,0_0_1_0,14
2OThghBSooqkWYAY.mp3,0,1,4,1,0_1_4_1,-1
2RGx7dK65CGiZ8M4.mp3,1,0,8,0,1_0_8_0,-1
2SsX4ycdD5bjiUiE.mp3,1,1,2,1,1_1_2_1,11
2TUJFzg0WKXtgw5g.mp3,0,0,4,0,0_0_4_0,20
2VCe6SKvfVWJ3F1A.mp3,1,1,6,1,1_1_6_1,10
2VHwr5rv3Lhf81w9.mp3,1,0,5,1,1_0_5_1,21
2by14H7SawhuzhYa.mp3,1,0,8,1,1_0_8_1,22
2gTZNoowJoQrLU2c.mp3,0,0,9,0,0_0_9_0,3
2n4m11Kt2awS0A9q.mp3,1,1,9,1,1_1_9_1,18
2qYv6IiyMd5Cw5nV.mp3,1,0,9,0,1_0_9_0,12
2wu2qO19q1SHH8St.mp3,1,1,4,1,1_1_4_1,8
31EmF9DBMyMEuSPe.mp3,1,1,4,1,1_1_4_1,8
372vuBtHRGgYLVkw.mp3,1,1,9,1,1_1_9_1,18
3B71TKuKMpg76wCQ.mp3,1,1,4,1,1_1_4_1,8
3Es2RmtAXVSru7IG.mp3,0,1,5,0,0_1_5_0,23
3GdfcoaXBHLqxPWJ.mp3,0,0,5,0,0_0_5_0,15
