id	tags
0009fFIM1eYThaPg	pop,british,female vocalists,dance,cheryl cole
0010xmHR6UICBOYT	instrumental hip-hop,underground hip hop,instrumental hip hop,instrumental hiphop
002Jyd0vN4HyCpqL	hard rock,rock,classic rock,american artist
006TYKNjNxWjfKjy	symphonic metal,power metal,symphonic power metal
007LIJOPQ4Sb98qV	post-punk,new wave,1985
00CH4HJdxQQQbJfu	indie rock,experimental,indie,chillout,shoegaze,experimental,psychedelic
00DZ3XCAQb2FdCc6	ambient,mellow,instrumental,easy listening,electronic
00GCd9HYEge6Ntwi	hip hop,banned,british hip hop,english hip hop,music to listen to very loud in the car with the windows down
00IeldeA9ijZOL0P	pop,bollywood,one world,disney
00KSCJkYb8JKa4Y3	rock,german,progressive,emo
00LuPWdOccBb09bW	rock,hard rock,alternative rock,nickelback,rock,alternative rock,hard rock
00P2bHdWFkghmDqz	fip,soul
00QffgsztgGgsSzR	experimental,downtempo,trip-hop
00SamUQvdyE4IFBM	spanish female vocalists,gala eurovisión 2019,gala eurovisión 2019,spanish female vocalists,salsa
00XWljDxNBgBKEEA	jose luis perales,spanish,pop
00XqgeUPDVrT61xn	instrumental,electronica,electroclash,10s
00b6fV3nx5z2b8Ls	glee,pop,cover,glee cast
00hFmpewuNvc4dRL	pop,electronic,dance,rock
00i0OB17z3m3yamO	alternative rock,rock,alternative metal,alternative
00mLjKFmaTv9MdaB	dance,hip hop,pop,hip-hop,rap
00sGlOdoTnPYRdQx	psychedelic rock,stoner rock,psychedelic,stoner
00uLdNEc6yXbIxyW	indie,mellow,folk,alternative rock
00wqHIO65EtRyRQM	electropop,electronic,poptron,synthpop,pop,electropop,electronic,synthpop
00y9HkWQamxnKYkj	k-pop,korean,hip-hop,rnb,masterpiece,k-rnb
0130k7BE0WlWUQLg	emo,twinkly,florida,emo your face off,boner jams,noodly
013BFFjvohJT9dW9	pop,rock,female vocalists,female vocalist,singer-songwriter,pop,female vocalists,singer-songwriter
013QDoTqbexEwkHr	pop,george michael,6 of 10 stars
015mOiDcGVtkg1jP	electronic,instrumental
016u1nUp8JLDgd6W	80s,pop,pop,belgian,80s
019Q5nZ079pL34qa	electropop,art pop,synthpop
01EKNot8qVgZpKM7	rock,acoustic,just cant stand this song omg
01I5p010ajulr0O5	dance,pop,forever,bigroom
01Kgo55olDKOHxQz	indie rock,indie,indie rock,indie,british
01OcWE6ZDS0RAb4I	pop,dance,unbroken,demi lovato
01PEcXojWOku5MRB	feel good,fun,girlie,accordion,oh so pretty,up
01ScM29f0wF2Mnkq	electronic,alternative,rap,indie,indie pop
01UK70YxnzhjXY29	post-punk,80s,goth rock,gothic
01WKqxhGhBvvJnwb	alternative rock,rock,alternative,shoegaze
01XPcGzdaQ1hv51M	post-punk,new wave,dark wave,darkwave,alternative,indie
01Yfj2T3YTwJ1Yfy	christian rock,rock,scream,10s,2014,2010s
01ZrNpwRWi7Ymdp5	pop,acoustic,female vocalists,pop,female vocalists,acoustic
01aEJBqsPHKZrLPU	drone,free improvisation,experimental,noise,ambient,improvisation
01cSV4vNCMDB9PFw	metalcore,hardcore,metal,melodic death metal
01gyRHLquwXDlhkO	rap,hip-hop,gangsta rap,east coast rap
01jFG9dR1nQslWWL	rock,alternative rock,alternative,female vocalists,irish,90s
01nQ4KgYEBMGutCI	grindcore,metal
01oEzhZwXGG8os3W	hard rock,nu metal,heavy metal,rock
01rMxQv6vhyE1oQX	pop punk,rock,pop,alternative,pop rock
01roaWOWaMzXjMOV	pop,british,male vocalists,olly murs,olly murs-busy
01zNMO11qGa7tLqa	rap,brasil
021X4PPO8YyoVVkT	indie,indie rock,rock
023KeDV5DfyxOplZ	spanish,fusion,latin,world,mestizo
0247XD85scrr19o0	female vocalists,80s,alternative,pop,singer-songwriter,kate bush
024TpJ6teKyeGvSH	indie,noise,electronic,catchy,sxsw 2015
0273l5ZKx90qFfxJ	hard rock,rock,heavy metal,80s,classic rock
02CMntrVK1cnVK1H	soul,60s,classic soul
02Fwq8lfGcaP9UMZ	samba,o meu brasil,brasil - favoritos,on an island above
02G1GLGNKjF0N3FP	indie,1988,indie pop,80s,scottish,lo-fi
02H3FqI0CSBlYFo7	love metal,rock,finnish,gothic,him
02IJEnORh7mcQteb	italian,female vocalists,pop,soul,italiana
02IdSftu0dkA0iVg	alternative,indie,american,indie pop,best of 2013,10s
02IlXCADUctM4gQG	british,electropop,music,love at first listen
02JeIZCvClyeiCA2	indie,uk,garage rock,alternative rock,indie rock,united kingdom
02OYdFsj4Vm1TPzK	punk rock,punk,melodic hardcore,rock
02OxM7m8nuckRPQT	pop punk,rock,electronic,pop-punk
02Oy8Rwe5K5TIhjk	rnb,hip-hop,dance,funk,hip hop
02RGE9FNH65RtMS7	trance,electronic,dance,techno
