id	genres
0009fFIM1eYThaPg	pop
0010xmHR6UICBOYT	underground hip hop
002Jyd0vN4HyCpqL	hard rock,rock,classic rock
006TYKNjNxWjfKjy	symphonic metal,power metal,symphonic power metal
007LIJOPQ4Sb98qV	post-punk,new wave
00CH4HJdxQQQbJfu	indie rock,experimental,shoegaze,experimental
00DZ3XCAQb2FdCc6	ambient,easy listening,electronic
00GCd9HYEge6Ntwi	hip hop
00IeldeA9ijZOL0P	pop,disney
00KSCJkYb8JKa4Y3	rock,emo
00LuPWdOccBb09bW	rock,hard rock,alternative rock,rock,alternative rock,hard rock
00P2bHdWFkghmDqz	soul
00QffgsztgGgsSzR	experimental,downtempo
00SamUQvdyE4IFBM	salsa
00XWljDxNBgBKEEA	pop
00XqgeUPDVrT61xn	electronica,electroclash
00b6fV3nx5z2b8Ls	pop
00hFmpewuNvc4dRL	pop,electronic,rock
00i0OB17z3m3yamO	alternative rock,rock,alternative metal
00mLjKFmaTv9MdaB	hip hop,pop,rap
00sGlOdoTnPYRdQx	psychedelic rock,stoner rock
00uLdNEc6yXbIxyW	folk,alternative rock
00wqHIO65EtRyRQM	electropop,electronic,synthpop,pop,electropop,electronic,synthpop
00y9HkWQamxnKYkj	k-pop
0130k7BE0WlWUQLg	emo
013BFFjvohJT9dW9	pop,rock,singer-songwriter,pop,singer-songwriter
013QDoTqbexEwkHr	pop
015mOiDcGVtkg1jP	electronic
016u1nUp8JLDgd6W	pop,pop
019Q5nZ079pL34qa	electropop,art pop,synthpop
01EKNot8qVgZpKM7	rock
01I5p010ajulr0O5	pop
01Kgo55olDKOHxQz	indie rock,indie rock
01OcWE6ZDS0RAb4I	pop
01PEcXojWOku5MRB	accordion
01ScM29f0wF2Mnkq	electronic,rap,indie pop
01UK70YxnzhjXY29	post-punk
01WKqxhGhBvvJnwb	alternative rock,rock,shoegaze
01XPcGzdaQ1hv51M	post-punk,new wave,dark wave
01Yfj2T3YTwJ1Yfy	christian rock,rock
01ZrNpwRWi7Ymdp5	pop,pop
01aEJBqsPHKZrLPU	drone,free improvisation,experimental,noise,ambient
01cSV4vNCMDB9PFw	metalcore,hardcore,metal,melodic death metal
01gyRHLquwXDlhkO	rap
01jFG9dR1nQslWWL	rock,alternative rock
01nQ4KgYEBMGutCI	grindcore,metal
01oEzhZwXGG8os3W	hard rock,nu metal,rock
01rMxQv6vhyE1oQX	pop punk,rock,pop,pop rock
01roaWOWaMzXjMOV	pop
01zNMO11qGa7tLqa	rap
021X4PPO8YyoVVkT	indie rock,rock
023KeDV5DfyxOplZ	latin,world
0247XD85scrr19o0	pop,singer-songwriter
024TpJ6teKyeGvSH	noise,electronic
0273l5ZKx90qFfxJ	hard rock,rock,classic rock
02CMntrVK1cnVK1H	soul,classic soul
02Fwq8lfGcaP9UMZ	samba
02G1GLGNKjF0N3FP	indie pop,lo-fi
02H3FqI0CSBlYFo7	rock
02IJEnORh7mcQteb	pop,soul
02IdSftu0dkA0iVg	indie pop
02IlXCADUctM4gQG	electropop
02JeIZCvClyeiCA2	garage rock,alternative rock,indie rock
02OYdFsj4Vm1TPzK	punk,melodic hardcore,rock
02OxM7m8nuckRPQT	pop punk,rock,electronic
02Oy8Rwe5K5TIhjk	funk,hip hop
02RGE9FNH65RtMS7	trance,electronic,techno
02S1suSkE5dLFuQh	techno,electronic,techno,electronic,house
02Ttc68td3DKnlmw	synthpop,electronic
02UCYtEhGjU61JpW	dream pop,shoegaze
02ZVmbFaT6O2jzvP	easy listening,easy listening
02ZnlCGZEbkfCDxo	pop,italian pop,pop rock
02aVw14JYYKIQPjB	pop,rock
02cqDSNdfTyOD1AI	country,contemporary country,country,country pop
02dc1Q6fV1ByAouz	mpb,samba
02hzaGar7vnWY4fJ	electronic
02io0Qj0jV8AFKAF	soul,classic soul
02kJNQnTgvS2rS7d	rock,alternative rock
02nj8E8TzgIiOkiW	pop,soft rock
02qUw5OPfkNQ3fm4	alternative rock,rock
02tlc7d6RtnNVG3P	synthpop,indietronica,indie pop,dream pop,twee pop
02uQlK780Tu47T5Q	electronic,new wave,synthpop
02vi0nu34pnQBFi6	pop
031W8ollPLnlC7mE	pop,rock
034NPLNuPE5imC79	pop,rock,italian pop
035ncL0cjsGJjdlA	progressive rock,rock,classic rock,pop
038kN6re1prxGxWC	viking metal,folk metal
0396S8l04hSNqgvk	pop
03HNWu7ijqITTmhS	death metal,melodic death metal,black metal
03LZ9iRhQ7uFg5le	britpop,rock
03LtQbTmxkIPDSau	pop
03Oc9WeMEmyLLQbj	rock,pop,singer-songwriter
