id	spotify_id	popularity	release	danceability	energy	key	mode	valence	tempo	duration_ms
0009fFIM1eYThaPg	3eObKIfHKJ1nAPh0wTxFCc	12.0	2009	0.635	0.746	6.0	1.0	0.5479999999999999	110.973	229947
0010xmHR6UICBOYT	27szvF97Tu95GxN98N52fy	46.0	2013	0.591	0.513	7.0	0.0	0.263	172.208	325096
002Jyd0vN4HyCpqL	273lBFpxUCwisTpdnF9cVb	31.0	1974	0.319	0.925	2.0	1.0	0.6579999999999999	157.63	285693
006TYKNjNxWjfKjy	1qZgergQ41vaD4zBf3AKXR	33.0	2017	0.4320000000000001	0.979	7.0	1.0	0.162	90.008	332867
007LIJOPQ4Sb98qV	6rVxJ3sN3Cz40MSLavbG1K	19.0	2009	0.35700000000000004	0.708	9.0	1.0	0.47	123.904	326067
00CH4HJdxQQQbJfu	1NCdZ2qUkqMh4Dw7P2Bav7	20.0	2009	0.541	0.53	7.0	1.0	0.583	152.81	175347
00DZ3XCAQb2FdCc6	7j4ohEIJTW80F6jHUSeovJ	25.0	2010	0.578	0.953	0.0	0.0	0.508	124.964	254747
00GCd9HYEge6Ntwi	26DdCbuwHRX1BgWeHQIn1C	55.0	2016	0.903	0.521	1.0	1.0	0.7609999999999999	150.018	223411
00IeldeA9ijZOL0P	30dn9JpKV0mxoIrENuDszw	37.0	2008	0.809	0.913	1.0	1.0	0.648	110.035	211027
00KSCJkYb8JKa4Y3	04P3RG8NGVtxIJZuX5p8hV	40.0	2018	0.222	0.987	2.0	1.0	0.116	113.733	203031
00LuPWdOccBb09bW	1jq28NGw6wdtFKx8MBPy6C	66.0	2008	0.617	0.922	11.0	1.0	0.6	132.059	212347
00P2bHdWFkghmDqz	3ZRvYw3UuvHemty0UHKRSI	35.0	2012	0.232	0.5770000000000001	4.0	0.0	0.669	65.195	252213
00QffgsztgGgsSzR	1cbIHIRtekbciRU5000ObB	29.0	2009	0.439	0.208	5.0	1.0	0.099	117.92	210013
00SamUQvdyE4IFBM	6qdHalUHQOgTjmOtCvbyXk	17.0	2019	0.737	0.499	9.0	0.0	0.612	134.898	191600
00XWljDxNBgBKEEA	7rm6kcMbUZNMzkELONGaVY	59.0	2008	0.219	0.32299999999999995	10.0	1.0	0.339	170.437	248000
00XqgeUPDVrT61xn	2KIxJ3uVVCFCBdtjLPnzhr	13.0	2011	0.531	0.614	0.0	1.0	0.503	121.991	174600
00b6fV3nx5z2b8Ls	73o83gUyd4hdmGdYNYcTJp	41.0	2011	0.753	0.948	1.0	0.0	0.7709999999999999	99.009	174000
